{'短评内容': '还行吧，没太好，也没太差。', '短评打分': 4}
{'短评内容': '不错不错不错不错不错。', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '茶山周边最喜欢的一家，没有之一', '短评打分': 5}
{'短评内容': '电视真心让人崩溃。。。', '短评打分': 4}
{'短评内容': '一般般吧。', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '性价比不错，已多次入住', '短评打分': 4}
{'短评内容': '性价比不错，已多次入住', '短评打分': 4}
{'短评内容': '性价比不错，已多次入住', '短评打分': 4}
{'短评内容': '性价比不错，已多次入住了', '短评打分': 4}
{'短评内容': '性价比不错，已多次入住了', '短评打分': 4}
{'短评内容': '经济型商务酒店，周边环境不是最好，但是距离高速比较近，出行方便', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒店内部环境设施不错卫生也还可以服务态度很好 周边环境凑合毕竟在山里。。', '短评打分': 5}
{'短评内容': '环境还可以，就是隔音效果有待提高，浴室没有踩脚垫子，有点危险，会滑倒', '短评打分': 5}
{'短评内容': '马路略吵，其他OK', '短评打分': 4}
