{'短评内容': '隔音非常差，房间很老久，房间和实际不符，服务更差，计划100元以上就不要去了，和招待所差不多！', '短评打分': 1}
{'短评内容': '很棒', '短评打分': 5}
{'短评内容': '周边商店有点少，没什么景点', '短评打分': 4}
{'短评内容': '还行，就是没得窗子，隔音不太好，房间其实比正常的标间稍微小一些。', '短评打分': 5}
{'短评内容': '总体来说还不错！', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '与描述不符，房间超级小。还豪标。。比别人的普通房间都不如。太坑人了。。还死贵死贵。。', '短评打分': 3}
{'短评内容': '还可以！！至少不那么坑！！', '短评打分': 3}
{'短评内容': '还行吧，房间小……还是比较干净！', '短评打分': 3}
{'短评内容': '还行吧 国庆期间 价钱也不贵 前台小妹也是特别热情 就是没有wiff', '短评打分': 3}
{'短评内容': '一般，不是很好，环境不行', '短评打分': 3}
{'短评内容': '设施可以  环境可以', '短评打分': 4}
{'短评内容': '出差用，挺好', '短评打分': 5}
{'短评内容': '好啊', '短评打分': 5}
{'短评内容': '可以', '短评打分': 4}
