{'短评内容': '酒店还可以', '短评打分': 4}
{'短评内容': '干净卫生', '短评打分': 5}
{'短评内容': '选择中惠主要是办事方便，但后面周道的服务让我再次来到了中惠酒店，在日照这个小城里中惠是不错的选择3。。。', '短评打分': 5}
{'短评内容': '不错，早餐如果品种再丰富点就更好了。', '短评打分': 5}
{'短评内容': '房间干净整洁，环境安静', '短评打分': 5}
{'短评内容': '发现3个蟑螂，晚上睡觉还算是安静，不过要等到20:30以后，早餐挺不错的，服务也可以，那天晚上基本所有的房间要的都是外卖！', '短评打分': 4}
{'短评内容': '房间很大，环境不错，附近都是机关单位很安全', '短评打分': 5}
{'短评内容': '酒店位置很好，房间内要用的东西比较齐全，桌子看上去有点旧了，不过挺干净的，床软软的也比较舒服，酒店服务不错，吃东西很方便，既可以在酒店内就餐，想购物的话也有较大的服装广场，公交站点也比较近。', '短评打分': 5}
{'短评内容': '不错，环境挺好的，房间很干净，服务员态度很好', '短评打分': 5}
{'短评内容': '酒店有自己的餐厅，每天早中晚三顿饭时间厨房排风扇开启，房间里声音挺大，影响休息。', '短评打分': 5}
{'短评内容': '荐', '短评打分': 3}
{'短评内容': '不错，房间不错，环境很好，前台美女也热情。', '短评打分': 5}
{'短评内容': '位置很好，旁边就有公园，环境很不错，比较安静，前台服务态度很好！', '短评打分': 5}
{'短评内容': '吃住很方便，很安静', '短评打分': 5}
{'短评内容': '还行吧，不是特别满意。', '短评打分': 3}
{'短评内容': '一般般，价格放在那里，房间还算干净整洁，洗澡水也可以，就是离海边稍远，但是交通和吃饭都挺方便，总之对得起这个价。', '短评打分': 4}
