{'短评内容': '还是不错的', '短评打分': 4}
{'短评内容': '一般般', '短评打分': 3}
{'短评内容': '总体还不错，性价比还可以，早餐也很好', '短评打分': 3}
{'短评内容': '总体还不错，性价比还可以，早餐也很好', '短评打分': 3}
{'短评内容': '总体还不错，性价比还可以，早餐也很好', '短评打分': 3}
{'短评内容': '总体还不错，性价比还可以，早餐也很好', '短评打分': 3}
{'短评内容': '总体还不错，性价比还可以，早餐也很好', '短评打分': 3}
{'短评内容': '总体还不错，性价比还可以，早餐也很好', '短评打分': 5}
{'短评内容': '服务不错，价格实惠，还提供供早餐，有点不好，就是没有机打的发票，以后还住', '短评打分': 4}
{'短评内容': '性价比很高，超低的价格住到这么舒适的房间，绝对的好评。', '短评打分': 5}
{'短评内容': '我订的（六盘水人民中路店）商务大床房，1间1晚，总价 ￥187.00，该店周姓服务员真诚给我说没有，只有128的大床房。没有忽悠，特别表扬！', '短评打分': 4}
{'短评内容': '不行，很旧，厕所门还是坏的', '短评打分': 3}
{'短评内容': '唉，电梯有点怕～～环境不太好……', '短评打分': 3}
