{'短评内容': '来郑州总住的，方便', '短评打分': 5}
{'短评内容': '很一般，没几个停车位，主要是离建伟近。', '短评打分': 4}
{'短评内容': '都只能说还行吧', '短评打分': 5}
{'短评内容': '太简陋了，枕套都有洞，这是我住的第一家没有瓶装水的酒店，瓶装水要靠买！早点，就是2家客房拼的，连咖啡都没有。', '短评打分': 2}
{'短评内容': '床很特别', '短评打分': 5}
{'短评内容': '从火车站乘车很方便。关键是离办事的单位很近。在居民区里很接地气。晚上散步也不错。如果再次到此地办事，贵店会是首选。', '短评打分': 5}
{'短评内容': '交通方便，挺好', '短评打分': 5}
{'短评内容': '还不错，在郑州市建委附近，开标方便', '短评打分': 5}
{'短评内容': '设施还行，服务也不错。', '短评打分': 5}
{'短评内容': '整体感觉还不错，就是设施显旧，定的单间房间略小，', '短评打分': 5}
{'短评内容': '出差住的酒店，距离办事地点很近，很方便 ', '短评打分': 5}
{'短评内容': '出差住的酒店，距离资源交易中心比较近，走路五分钟可以到。酒店还可以，也有吃饭的地方，整体因为距离近比较推荐。', '短评打分': 4}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '价位适中，环境优雅，如果退房能到下午两点就更完美了', '短评打分': 3}
{'短评内容': '隔音不好  街上晚上车的声音很大\n晚上11点多 隔壁有个小孩 还不睡觉  大吵大闹  \n早上5、6不知那房间有个男人唱歌\n', '短评打分': 1}
{'短评内容': '还可以，酒店条件不错，房间大、干净、网络通畅，服务态度好，但早餐需改进，热水有时温度不够。', '短评打分': 5}
{'短评内容': '酒店条件不错，服务员态度好，附近就餐方便，性价比好，值得推荐。', '短评打分': 5}
{'短评内容': '该酒点就餐方便，房间大、干净、服务态度好，价格实惠，值得推荐。需改进的是：有时水温度不够。', '短评打分': 5}
{'短评内容': '该酒点附近就餐方便，而且酒店也有餐厅，地理位置不错，酒店房间大、干净、网络通畅，服务态度好，早餐已作了较大改进（比上次来该酒店要好多了）。', '短评打分': 5}
{'短评内容': '酒店条件不错，房间大、干净、网络通畅，服务态度好，但早餐需改进，热水有时温度不够。', '短评打分': 5}
{'短评内容': '不错 真的挺不错的    有点小建议就是早餐有点不好吃了··', '短评打分': 5}
{'短评内容': '房间大、卫生很好，价格适合商务旅行和出差', '短评打分': 5}
{'短评内容': '暖气很暖和 很不错 位置也好 周围也有很多吃饭的地方', '短评打分': 5}
{'短评内容': '条件不错，挺好的，服务态度也挺好，之前看见前边的评价有点小担心，不过一切都ok', '短评打分': 5}
{'短评内容': '价格挺实惠，屋子很暖和', '短评打分': 3}
{'短评内容': '房间还算可以，早餐不好吃。小姐很晚也打电话~房间还算可以，早餐不好吃。小姐很晚也打电话~房间还算可以，早餐不好吃。小姐很晚也打电话~', '短评打分': 5}
{'短评内容': '都挺好的，就是早上竟然停电了，知道1点离店都没来电', '短评打分': 5}
{'短评内容': ' 友纳郑州淮河路店在此价位条件己相当不错，意见两点一是早餐太咸，二是非酒店会员必须十二点前退房。', '短评打分': 3}
{'短评内容': '朋友几次到郑州，都提出选住这家酒店。酒店确实不错，唯一问题是电话无法转房间！朋友分别于今年1月、3月、4月都入住过这家酒店，酒店方面告知是电话线路在检修，不知何时可检修好？希望下次朋友如果再选住这家酒店时，能将电话问题解决。届时，一定点选推荐！', '短评打分': 1}
{'短评内容': '条件不错，环境和设施都比较符合我的心意，算是达标，而且服务也可以.', '短评打分': 5}
{'短评内容': '酒店在郑州市中心的西南，环境、服务、酒店设施都不错，下次去还会住。', '短评打分': 5}
{'短评内容': '很干净，房间设施都很不错，有家的感觉，呵呵，赞一个！', '短评打分': 5}
{'短评内容': '房间条件还不错，看上去比较干净。各项设施比较新。\n早餐比较差，不到9点就没了，品种比较少。\n', '短评打分': 5}
{'短评内容': '房间的使用的颜色让人感觉很清爽很干净，价格也挺实惠的。', '短评打分': 5}
{'短评内容': '面积还好，卫生不错，设施挺齐全，还能上网，感觉挺方便的。', '短评打分': 5}
{'短评内容': '酒店看着比较新比较干净，电视电话等设施都有，价格也不贵，住的挺划算的。', '短评打分': 5}
{'短评内容': '房间不大，但是挺干净，布置的挺温馨，感觉挺舒适。', '短评打分': 5}
{'短评内容': '价格挺合理，出行方便，干净卫生，值得推荐。', '短评打分': 5}
{'短评内容': '服务上挺好，随叫随到，酒店里有餐厅，吃饭也挺方便的。', '短评打分': 5}
{'短评内容': '大床房是以苹果绿色为主，枕巾被罩也是，看着很舒适很干净，设施也挺齐全，总体感觉很不错。', '短评打分': 5}
{'短评内容': '位置挺好，交通挺便利的，还提供早餐，价格也贵，感觉挺不错。', '短评打分': 5}
