{'短评内容': '达到要求的水准，以后有机会来这还会住的。', '短评打分': 5}
{'短评内容': '环境还行', '短评打分': 5}
{'短评内容': '可以的...............................................', '短评打分': 5}
{'短评内容': '地点挺好，内部装修也还不错，不过三人间床头就一个查询，手机充电不方便。房间隔音一般，有些吵杂。水也不免费', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '早餐便宜，只要四块钱。酒店位置非常好，在香格里拉楼上，服务员态度不错。能够开专票。有没有停车场不太清楚。但是停车比较方便。', '短评打分': 5}
{'短评内容': '明明有房，却不接单，艺龙表示电话无人接听，然后退掉了。', '短评打分': 1}
{'短评内容': '够大，空调按键不是很灵，只有一个枕头', '短评打分': 4}
{'短评内容': '非常舒服的酒店', '短评打分': 5}
{'短评内容': '酒店房间比较大，床品还算干净，早点一般，可能因为我们去的晚，已经没什么饭了，唯一不好的是这个居然木有安全锁，希望可以改进，非常没有安全感，酒店前面有条小吃街不错，东西也好吃', '短评打分': 3}
{'短评内容': '还行，房间也还算较新，早餐不敢恭维', '短评打分': 5}
{'短评内容': '刚装修味道很大。过段时间就可以了', '短评打分': 4}
{'短评内容': '地段很好！酒店有点旧了，前台没办法借到充电器，询问借东西的答复很生硬！', '短评打分': 4}
{'短评内容': '垃圾酒店！', '短评打分': 1}
{'短评内容': '视野好，交通好。', '短评打分': 5}
{'短评内容': '酒店其实就是旅馆，很简单的装修和设施，毫无装饰和设计，房间够大床单挺白，楼层挺高，一个人睡觉有点害怕，没有居家的亲切感，早餐是碳水化合物提供足够，脂肪没有，去不去吃无所谓。一个电梯上，三楼霓虹灯闪烁歌舞升平，小年轻都从这层出去，四楼就是酒店啰，但还有一大群老人要上五楼，我好奇是不是有个茶楼，上午9点半不就是喝茶的时间吗，也跟着上去，原来是国海证券！爷爷奶奶们，到公园茶楼去吧，还这么拼做敢死队吗？无', '短评打分': 4}
{'短评内容': '还可以，有早餐，交通方便，近人民公社，吃饭方便。', '短评打分': 4}
