{'短评内容': '看见蟑螂了，', '短评打分': 4}
{'短评内容': '位于新街口的黄金位置，离地铁站非常近。房间还可以，这个价位性价比全高的！', '短评打分': 4}
{'短评内容': '早6点退房，服务员不给寄存行李，只好把行李放房间里。回来退房时，居然再要80元的延迟退房费。', '短评打分': 2}
{'短评内容': '一般般', '短评打分': 4}
{'短评内容': '位置很好，其他都太一般了，床太小，设施太差，毛巾都敢碰。', '短评打分': 4}
{'短评内容': '很可以   很卫生', '短评打分': 5}
{'短评内容': '还不错 交通便利 这个价钱可以了', '短评打分': 3}
{'短评内容': '位置好，设施各方面和价格一样，服务态度在酒店里算是差的了', '短评打分': 4}
{'短评内容': '蛮不错的，性价比超高，新街口的位置有这样的店蛮好的', '短评打分': 5}
{'短评内容': '位置不错 离新街口很近 这周末价格好贵388 平时一百多到还说的过去', '短评打分': 3}
{'短评内容': '地理位置好，出行也方便，宾馆新开业，房间小但干净，晚上也比较安静。宾馆设施的细节管理还需提高。', '短评打分': 5}
{'短评内容': ' 新酒店，房间特别干净，价格也不错，住了三天，以后直接就住这里了，比对面肯定好太多了', '短评打分': 3}
{'短评内容': '酒店挺干净的，对面就是新街口商圈，很方便购物和出行', '短评打分': 3}
