{'短评内容': '不错 不错不错 ', '短评打分': 5}
{'短评内容': '位置离地铁口进，门锁不上，屋里有几个开关不太好用，屋里布局不错！', '短评打分': 4}
{'短评内容': '酒店设施陈旧，周边环境噪杂，交通便利。', '短评打分': 3}
{'短评内容': '不起眼的一家酒店，好在房间比较大，很安静，大床和枕头非常舒服，早餐还好够吃了。总体性价比还是可以的。', '短评打分': 5}
{'短评内容': '', '短评打分': 3}
{'短评内容': '很一般，老酒店，设施服务都很差', '短评打分': 3}
{'短评内容': '物超所值', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '不错，服务好', '短评打分': 5}
{'短评内容': '住过二次了，宽敞干浄，交通方便', '短评打分': 5}
{'短评内容': '不错不错挺好的', '短评打分': 5}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '设施陈旧，水温不够，有点吵。应重新装修。', '短评打分': 3}
{'短评内容': '环境不错，可以入住，很好很好。', '短评打分': 5}
{'短评内容': '酒店很不错，这个价位能订到这样的酒店还是挺惊讶的，而且离车站也挺近', '短评打分': 5}
