{'短评内容': '最不爽的一次入住，酒店环境 硬件设施、服务态度 ，一个晚上都没睡，图片和实际 相差太大 完全是虚假宣传', '短评打分': 1}
{'短评内容': '挺好的  就是附近没有饭店  也没有超市  离市区挺远的  停车场很大', '短评打分': 5}
{'短评内容': '位置稍偏，杭州的交通实在不敢恭维，酒店装修稍显陈旧，不过房间较为宽敞，房价在杭州已经算是相当不错的了。去的时候店主疏忽没有给留房间，最后查明后免费升级到大床房。按摩外卖都很全。', '短评打分': 5}
{'短评内容': '设施老旧,毛巾什么的一股怪味,不过服务态度还蛮好.', '短评打分': 3}
{'短评内容': '还好吧，去西溪和汽车站方便，周围很荒凉，超市，水果店都没有', '短评打分': 5}
{'短评内容': '离西湖科技园很近，十分钟以内步行。但房间陈旧。打的不方便。不推荐', '短评打分': 3}
{'短评内容': '不错，酒店里用餐方便，价格也实在', '短评打分': 3}
{'短评内容': '交通挺方便的 挺好找的 房间挺干净的 吃饭也听方便 可以送餐 还可以自己下楼吃 味道挺好的', '短评打分': 5}
{'短评内容': '和我以前住的万好万家差远了，早知道这样不会入住，设施相当陈旧、简单。', '短评打分': 3}
{'短评内容': '确实便宜的,停车场很大,方便停车,就是装修很旧.楼下是棋牌房.', '短评打分': 5}
{'短评内容': '环境还可以，就是早上有点吵', '短评打分': 3}
{'短评内容': '到了前台说标间免费升成电脑大床房。订单上写的总金额是437，实际离店时收了447.忘了问为什么。', '短评打分': 5}
{'短评内容': '酒店总体还可以，定的是抢购房，对得起这个价位，交通比较好…', '短评打分': 3}
{'短评内容': '还可以，房间比较大，就是周围没有超市，呵呵', '短评打分': 5}
{'短评内容': '很不错的酒店，我住的是抢购双人间。\n优点：房间大，窗大，明亮，屋内电器效果良好，床也干净，墙壁是隔音的。酒店有餐厅，价钱便宜，菜也挺好吃。\n缺点：酒店绿化好，边上没有商铺，要走很远才到热闹点的地方。', '短评打分': 5}
{'短评内容': '位置是不错，介于西湖和西溪湿地之间，就是前台和房间都一般，人是蛮热情，就是不明白，怎么能大门都不开，只开了一个偏门，有点离谱，上楼后，楼道上堆着被单的推车拦着道路，没见服务人员，进房间后灯是坏了，修灯的工人来的倒是快。还有晚上朋友打电话要吹风机，说是很快送来，结果一直到早上没见过酒店的吹风机。', '短评打分': 1}
{'短评内容': '价格实惠，服务态度不错，就是白色装修有点旧而显得有些脏', '短评打分': 5}
{'短评内容': '酒店床很窄，而且墙面不干净，浴室的浴帘都长毛了。。。有点无语', '短评打分': 1}
{'短评内容': '环境还不错', '短评打分': 3}
{'短评内容': '酒店的面积挺大，卫生还可以，就是里面的设施陈旧了些。离西站，湿地博物馆挺近，走路十分钟就到了。', '短评打分': 5}
{'短评内容': '还可以，就是设施太陈旧，空调太响。面向山的一面的大窗户感觉还蛮好。', '短评打分': 5}
{'短评内容': '还行，比较旧罢了', '短评打分': 3}
{'短评内容': ' 离汽车西站不远，价格不贵，临时周转落脚还可以', '短评打分': 3}
{'短评内容': '用品很整洁，服务快捷，如果房间能配上电吹风就更好了。', '短评打分': 3}
{'短评内容': '我选的是特价房，双床，这个价位还是值的。', '短评打分': 5}
{'短评内容': '连锁的商务酒店，总体还不错了，就是走廊里有点味道，离西溪还有3站地，周围没有什么吃的，不是很方便', '短评打分': 5}
{'短评内容': '优点：离西溪较近，服务一定要表扬，态度很好，热情、细心。离店时前台小姐还给留了名片，为方便有不清楚路线的时候打给他们。早餐也不错。\n缺点：周围吃的地方很少，酒店的比较旧，卫生一般。', '短评打分': 5}
{'短评内容': '完全不值这个价钱，外面看还行，里面很破很小，还很脏，床单像是没洗干净。浴室很小，跟厕所之间没有门，只有一层帘布，唯一的好处是服务态度挺好', '短评打分': 1}
{'短评内容': '  还行吧，环境好', '短评打分': 3}
{'短评内容': '除了离西站西溪湿地很近之外没什么好的。酒店床上也不怎么干净，晚上的空调还特别吵。', '短评打分': 1}
{'短评内容': '感觉有点脏有点乱···有点小·· 没有古墩路3号的那家店好···设施都很旧···', '短评打分': 1}
{'短评内容': '个人感觉性价比不高，但是装修比较老旧，不如黄龙店', '短评打分': 1}
{'短评内容': '物价房价格便宜，空调、热水都很好，房间不新，但很简洁。空调下面的毛巾架和进门的挂衣架我特别喜欢，住着很舒心，乘公交也很方便。', '短评打分': 5}
{'短评内容': '还可以吧,离西溪湿地很近，主要是价格还好', '短评打分': 5}
{'短评内容': '房子比较大，就是吃饭不太方便，总体性价比比较高', '短评打分': 5}
{'短评内容': '前台服务员态度挺好的。但家具非常破旧，没有无线网，只有有线网，网线很短。床单灰灰的，上面有些洗不掉的印子，有点脏。洗手间还挺干净的。', '短评打分': 1}
{'短评内容': '太吵了 ，整个晚上都没有睡着，网上说有网线的，实际却没有网线，气死我了', '短评打分': 1}
{'短评内容': '酒店是朋友推荐的，很经济实惠，环境也很好，最主要还有正宗千岛湖鱼头吃。', '短评打分': 5}
{'短评内容': '一般般吧。装修不是很好了。一点也不象是上市公司的。', '短评打分': 1}
{'短评内容': '挺好的，就是位置偏僻了一点，打车去文一路就要15块', '短评打分': 5}
{'短评内容': '不是很好，网络很不给力，个人感觉不舒服，不是很满意！', '短评打分': 1}
{'短评内容': '已入住，但今天门卡换了三次才打开。', '短评打分': 3}
{'短评内容': '地理位置不错,地坛公园附近,地铁站出去向北800米的样子.房间一般,该有的都有了.这个价位值得推荐~', '短评打分': 5}
{'短评内容': '挺好的，空调挺给力。', '短评打分': 3}
{'短评内容': '比较旧，感觉一般般，不过蛮安静的。', '短评打分': 3}
{'短评内容': '自驾入住方便，公交出行便捷。周边环境较好。室内布置简洁，浴室内有拖鞋安全方便。美中不足的是装修陈旧。', '短评打分': 5}
{'短评内容': '设施有些旧，但是床单和卫生间收拾的还是很干净的。', '短评打分': 1}
{'短评内容': '不错，房间很大，服务员的态度很好，解决问题的能力很强，很干练，办理入住时就需要几秒钟的时间，爽，痛快。', '短评打分': 5}
{'短评内容': '周围环境不错，设施齐全，干净卫生，服务态度好，值得入住', '短评打分': 5}
{'短评内容': '条件不错，卫生很好，是旅游居住方便的住处，服务到位，价格较高。', '短评打分': 5}
{'短评内容': '很好。服务质量很好，很热情。房间旧了点。其他的都挺好的。', '短评打分': 5}
{'短评内容': '房间干净，卫生间的设备比较旧了，但热水来的挺快的。\n房间隔音不是太好，有空调的吵声。\n早餐是自助类型的，八元一位，还算过得去，就是品种少了些，而且有些还不太热。\n正餐的话酒店一楼边上就是一个鱼味馆，菜的味道还可以。', '短评打分': 5}
{'短评内容': '酒店的服务态度非常好，就是房间旧了点，价位也是合理的。好评哦。', '短评打分': 5}
{'短评内容': '环境不是很好，也就一分钱一分货', '短评打分': 3}
{'短评内容': '房间不大，比较整洁，本以为临近大马路会有些吵，却也还好，总体还行！', '短评打分': 3}
{'短评内容': '很好，简洁而温馨', '短评打分': 3}
{'短评内容': '设施陈旧，到西湖交通不便！到西溪湿地挺近的。', '短评打分': 1}
{'短评内容': '不错，很便宜又安静，离西溪也很近。', '短评打分': 3}
