{'短评内容': '太旧太吵', '短评打分': 1}
{'短评内容': '方便', '短评打分': 4}
{'短评内容': '住了两晚，一会没热水一会网坏了，携程上说的送饮料没有了，连句道歉也没有。还开什么酒店，别给杭州G20丢脸了。携程找的色么合作点呀', '短评打分': 2}
{'短评内容': '酒店比较老了，设施比较旧', '短评打分': 3}
{'短评内容': '设施有待改善，布置不合理！', '短评打分': 3}
{'短评内容': '房间布置不合理，开门就是床！卫生间没有隔门！卫生不是很好', '短评打分': 3}
{'短评内容': '空调都没有', '短评打分': 4}
{'短评内容': '理位置还行吧，离地铁人民路站不远', '短评打分': 4}
{'短评内容': '灯光太暗！', '短评打分': 4}
{'短评内容': '不错不错，灯光亮一点', '短评打分': 4}
{'短评内容': '如果在杭州萧山找酒店住的话，位置还不错，设施简单了些', '短评打分': 4}
{'短评内容': '卫生情况不错，周边是服装市场，逛街方便。', '短评打分': 5}
{'短评内容': '在这个价位上还是很不错的酒店，设施还算新。对得起这个优惠的价格', '短评打分': 5}
{'短评内容': '酒店大堂刚装修过，比以前好一点，卫生还可以，价格也不贵', '短评打分': 5}
{'短评内容': '很值，价格很实惠，设施估计有2星半。返现力度也大，有机会肯定还会入住。', '短评打分': 5}
{'短评内容': '去了2次，都是同一个房间，价格实惠。服务员还很好，还送了糖跟面包。很开心', '短评打分': 5}
{'短评内容': '大厅在装修，总台在三楼的过道里。有点狭小。装修好可能会好点。房间还挺干净的，空调不能自主调。能满足一般客户要求。有小点心送。总体满意。', '短评打分': 5}
{'短评内容': '这次去，给我们不知道是个什么样的房间，都经常来的。下次真不去了。', '短评打分': 1}
{'短评内容': '房间够大，设施齐全，交通便利。一楼正在装修稍稍不便，但不影响客房中休息，我住在七楼。', '短评打分': 3}
{'短评内容': '在装修，服务也没有之前那么好，价格上也不怎么优惠了。', '短评打分': 1}
{'短评内容': '不怎么样，可能是刚在装修吧，空调都没办法自主调的。', '短评打分': 1}
{'短评内容': '酒店离市区很远，要跟旅行社去杭州 景点玩都不会来接的太远了，自己打车要快一小时车程。酒店在装修服务态度还好的。', '短评打分': 1}
{'短评内容': '最近在装修大厅.不太方便找.空调不给力.可能与装修有关吧.反正当天住的房间感觉不到空调,还是外面通气(当天下雨,外面凉快).但是之所以推荐是因为退房时,不小心将一百元钱落在房间,等到单位才想起来,打电话过去,前台直接跟我讲,钱在.随时去拿.比较感动.所以,下次会继续去,前提是在入住时先检查下电器设备是否正常工作.呵呵.', '短评打分': 5}
{'短评内容': '房间舒适.干净.就是有一点点不足,靠窗有点吵,因为是闹市区,加上北面是居民区.', '短评打分': 5}
{'短评内容': '这个是给朋友定的房间，OK的啦~我自己也住了很多次了', '短评打分': 5}
{'短评内容': '经济实惠 很不错  方便  给力  服务也好经济实惠 很不错  方便  给力  服务也好', '短评打分': 5}
{'短评内容': '酒店设备有点老，但还算干净。床不错，工作台也很好，如果能设置上台灯就完美了。推荐的主要原因是前台服务态度特别好（和众多家比较的结果）。', '短评打分': 5}
{'短评内容': '马马虎虎~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 1}
{'短评内容': '一如既往地顶这个酒店.价格公道.关键是那里的床和枕头真的比较舒服.', '短评打分': 5}
{'短评内容': '酒店还行床比如家一类的大很多，就是感觉不是很干净', '短评打分': 5}
{'短评内容': '总体算不错，下次同样的价格还要来。希望各方的服还能再提高点。', '短评打分': 5}
{'短评内容': '很干净，服务也热情，但是并没有网络上说的当日动车票可抵10元之事', '短评打分': 3}
{'短评内容': '特价房太小了，而且浴室上面不封顶的，导致房间很潮，不推荐入住', '短评打分': 1}
{'短评内容': '整体环境挺好的，而且酒店前台服务人员服务态度也很好，酒店设施也比较齐全。。。', '短评打分': 5}
{'短评内容': '感觉一般般，价钱也便宜嘛。只是在路边会有点点吵，附近又没什么可以走走看看的，只有逛街买东西的地方，楼下好像是一家火锅店，所以房间里面也有火锅的味道，这个让我很不舒服', '短评打分': 5}
{'短评内容': '酒店整体环境挺好的，另外酒店前台服务人员，服务态度也很热情，设施也比较齐全。', '短评打分': 3}
{'短评内容': '感觉很舒适\n下次还会去，交通业很方便，服务态度也很棒', '短评打分': 5}
{'短评内容': '这个价格还是很格算的，除了浴室里洗完澡会有水溢出来以外都很满意。', '短评打分': 5}
{'短评内容': '宾馆位置不错，房间布置很好，对得起这个价位，以后有机会肯定还会来的', '短评打分': 3}
{'短评内容': '很不错的酒店，第二次住了', '短评打分': 3}
{'短评内容': '交通还可以，环境也还不错。适合节假日出行的居住场所。下次去杭州还会光顾的。', '短评打分': 5}
{'短评内容': '前台态度好，房间空间大，特别是网速超快，很好，地里位置好！', '短评打分': 3}
{'短评内容': '酒店早餐种类太少', '短评打分': 3}
{'短评内容': '由于一早要在南站赶火车，所以去前晚就来了，地方不错。性价比很高，下次有机会还会去的', '短评打分': 5}
{'短评内容': '经济实惠，周边配套设施齐全，服务员态度很好，但是专业能力有待进一步提高。', '短评打分': 3}
{'短评内容': '环境还好，就是外面买夜宵的太嘈，而且很迟才结束。', '短评打分': 5}
{'短评内容': '总体还不错了，配备中央空调，地理位置也不错。', '短评打分': 5}
{'短评内容': '住在里面感觉很不安全，我和老婆洗完澡躺床上还没穿衣服，外面竟然有人在开我们的门，我穿上衣服开门一看，有个人在挨个往门缝里塞招嫖卡片，你塞塞也就算了，干嘛开我们的门，我就不信酒店工作人员看不到', '短评打分': 1}
{'短评内容': '大冬天，空调都不热，一晚上还是有点冷', '短评打分': 3}
{'短评内容': '卫生比较好，地段也挺好，交通便利。就是隔音效果较差。', '短评打分': 5}
{'短评内容': '感觉比上次好太多了。前台服务很礼貌，很有气质，漂亮，看上去赏心悦目！暖气很好。强烈推荐。', '短评打分': 5}
{'短评内容': '房间装修的蛮好的，地段也不错，性价比比较高', '短评打分': 5}
{'短评内容': '感觉 还不错。去过很多次了 感觉都还行。。', '短评打分': 5}
{'短评内容': '卫生还可以，隔音效果较差，甚至能听到妈路边行人聊天声。', '短评打分': 5}
{'短评内容': '房间比较小，没有坐的凳子。床上有异味。地理位置好，早餐也算过得去。', '短评打分': 1}
{'短评内容': '服务态度好、出行方便、附近吃饭的地方也很多。', '短评打分': 5}
{'短评内容': '舒适整洁,就是停车不是很方便,别的基本上都满意', '短评打分': 5}
{'短评内容': '不错的酒店，性价比极高，条件不错，下次还会去。', '短评打分': 5}
{'短评内容': '环境不错，周围交通也蛮方便的  服务也不错，就是隔音差了点', '短评打分': 5}
{'短评内容': '作为一家经济型酒店，环境、卫生、服务、价格都还行。', '短评打分': 5}
{'短评内容': '房间挺干净', '短评打分': 3}
{'短评内容': '首次在ELONG上订，以前开过几次午夜房，房间比较清爽，价格还过得去。', '短评打分': 5}
{'短评内容': '早饭很差，因为住在3楼，房间里一股火锅味，很不舒服', '短评打分': 1}
{'短评内容': '房间挺干净的，床也挺舒服，主要是挺对的起这个价格的，就是停车不是很方便，有停车场不过空间比较小，而且进出的时候也不是很方便', '短评打分': 5}
{'短评内容': '价格适中，服务OK,交通方便。以后出差还会去的', '短评打分': 5}
{'短评内容': '床睡的还是比较的舒服！！！另外地段比较好，吃饭很方便', '短评打分': 5}
{'短评内容': '早餐很差，隔音效果亦不好，隔壁的好像忙了一夜...', '短评打分': 1}
{'短评内容': '感觉很舒适，价格合理，就是卫生间的灯太暗了。', '短评打分': 3}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '房间隔音效果比较差,房间里的矿泉水和凉茶等东西都要另外收钱(入住时服务员并没有告知这些东西要另外收钱,当时我以为是房间配有的,到离开酒店结帐时才知要收费),早餐一般般,一个最不好的地方是离市区比较远,去市区西湖玩到晚上就没有车回来萧山了,连的士出租车也不肯载客回萧山.', '短评打分': 1}
{'短评内容': '挺好的的地方 的咖啡馆和淡粉红的后方可机会的即可更换', '短评打分': 5}
{'短评内容': '环境还可以的，就是早餐一般般。不过至少对得起这个价钱\n', '短评打分': 5}
{'短评内容': '经济舒适', '短评打分': 3}
{'短评内容': '感应灯太敏感，棉被有点硬。', '短评打分': 3}
{'短评内容': '＋酒店不错，很干净整洁，离商场也近，还送早餐，以后还会订。', '短评打分': 3}
{'短评内容': '房间偏小点其它还好！', '短评打分': 3}
{'短评内容': '比较舒适，住着很舒服，不错~~就是早餐种类有点少', '短评打分': 5}
{'短评内容': 'bucuo bucuo bucuo bucuo', '短评打分': 5}
