{'短评内容': '朋友说还不错', '短评打分': 4}
{'短评内容': '早餐还行，位置太偏，菜价格很高', '短评打分': 3}
{'短评内容': '环境服务都还不错，就是房间里的免费饮用水还是要小心，自己喝的瓶盖都发霉了，酒店自己罐装的水', '短评打分': 4}
{'短评内容': '附近比较好的酒店了，房间挺大的，很安静，以后出差还是会选择', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '垃圾京东', '短评打分': 1}
{'短评内容': '一般，垃圾京东', '短评打分': 5}
{'短评内容': '一般', '短评打分': 1}
{'短评内容': '环境不错，价格便宜。很好值得推荐。吃饭的地方也很好。周边水果很便宜，不过没有烟台的苹果甜，哈哈！买了不少。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '不错的选择', '短评打分': 5}
{'短评内容': '三星酒店，可以了。房间卫生还不错，早餐也丰富。这里没有其他选择啦', '短评打分': 4}
{'短评内容': '还不错，当地来说非常好的酒店了。', '短评打分': 5}
{'短评内容': '酒店很干净因为离商业街比较选所以也算安静，就是吃饭不能挂账，早餐还要自己买！不爽！', '短评打分': 4}
{'短评内容': '价格不错，再预定就没有这个价格了', '短评打分': 4}
{'短评内容': '环境挺好，卫生不错，就是吃饭买东西不怎么方便的', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
