{'短评内容': '温馨阁没有大床住的温馨阁', '短评打分': 5}
{'短评内容': '相当不错的酒店 虽然在大路边上 但是十分安静 停车场很大 不用为停车发愁 房间后面有一条小河 像住在家里一样', '短评打分': 4}
{'短评内容': '酒店旁边的游步道是一个特色。房间幽静。', '短评打分': 5}
{'短评内容': '朋友说不错', '短评打分': 4}
{'短评内容': '朋友说住的很舒服，服务员服务很好。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '京东不错?！一如既往支持！', '短评打分': 5}
{'短评内容': '京东不错?！一如既往支持！', '短评打分': 5}
{'短评内容': '京东不错?！一如既往支持！', '短评打分': 5}
{'短评内容': '酒店还可以，房间比较大，住着也挺舒服', '短评打分': 5}
{'短评内容': '位置偏远，附近没啥吃的，价格还贵', '短评打分': 4}
{'短评内容': '不错不错不错', '短评打分': 5}
{'短评内容': '性价比不好。培训时订的酒店，地方挺偏的。中午10点多到店，前台说是培训人多，打扫卫生来不及，说要12点拿房卡，那也理解，等吃完饭12点后去拿说还是没有，下午3点多再去，前台说还是没好，还说人手不够，真是很不高兴，人手不够接待能力跟不上，是你酒店的问题，关我客人什么事呢？我又不是协议价订房的，我延迟退房你会免费吗？前台态度很不好，服务意识太差。再 说酒店中餐，70一人的自助餐，吃了一次，真心是坑爹，', '短评打分': 2}
{'短评内容': '酒店游步道朋友很是喜欢。幽静，环境优美～酒店服务人员都很亲切，见面都礼貌打招呼。出门不认路，都细心告知。非常愉快的一次入住体验', '短评打分': 5}
{'短评内容': '环境还不错', '短评打分': 5}
{'短评内容': '卫生很好，虽然是续住但服务业还是帮忙更换了床上用品，室内空调也不错。无线网络时断时续，问前台说是“可能是用的人多”', '短评打分': 4}
{'短评内容': '总体酒店挺好的', '短评打分': 5}
{'短评内容': '还行吧，价格贵了点', '短评打分': 5}
{'短评内容': '不错的', '短评打分': 5}
{'短评内容': '酒店整体还是不错的，美中不足酒店周边配套服务设施太少了，不方便', '短评打分': 5}
{'短评内容': '还行，服务态度还可以', '短评打分': 4}
{'短评内容': '酒店服务还不错，我住的是豪华大房间，里面空间还可以，我最喜欢的是有浴缸，窗外面是小河，感觉很幽静，不会被打扰！双早也还可以以，分为中餐和西餐两种类型！', '短评打分': 5}
{'短评内容': '酒店很干净，比较舒适。不足之处在于新装修后涂料味没有散去，还有早餐不好吃。总体来说性价比还不错，可以推荐。', '短评打分': 5}
{'短评内容': '就是地点有点偏，但是酒店环境还不错，也很干净，早餐也很丰富哦', '短评打分': 5}
{'短评内容': '环境还行，不过前台办入住手续有点慢，门锁也有问题。', '短评打分': 3}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '非常好!', '短评打分': 3}
{'短评内容': '酒店位置有点偏，自己开车就不会太在意了。新店开张硬件设施不错，房间够宽敞、卫生满意、寝具也够舒适。', '短评打分': 5}
{'短评内容': '还是挺有意思的，特色房还真的挺特色。交通不方便，不好打车', '短评打分': 5}
{'短评内容': '看上去蛮安静的一个酒店 可是晚上却搬了一个晚上的东西 房间跟地震一样 隔音效果不好 房间里缺很多东西 没有零食 饮料可以选购 也没有日常生活用品可以选购 不过价钱还算实惠 希望酒店多多改进', '短评打分': 1}
{'短评内容': '位置太偏了，地方太远,打D都要个把小时， 环境一般，早餐还不错', '短评打分': 1}
{'短评内容': '酒店硬件还可以，就地方偏一点，结账时间12点太急！', '短评打分': 3}
{'短评内容': '装修设施卫生都还不错，酒店的位置不是很好找，价格还是比较便宜些。不过有些细节方面做的太到位。其他的都一般吧。', '短评打分': 3}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '性价比很好的酒店，硬件齐全，服务很到位，房间卫生也很好，就是周边出行有些不太方便，其他都很好', '短评打分': 5}
{'短评内容': '刚入住，感觉不错，酒店非常干净。服务人员也很热情。下次还会入住', '短评打分': 5}
{'短评内容': '酒店还好，就是位置太偏，要不是来找朋友，不可能会订这家', '短评打分': 5}
{'短评内容': '房间还不错,不过交通不方便. 不好打车.', '短评打分': 5}
{'短评内容': '基本上都不错，就是离市区远了点，自驾的话还可以。新装修，房间内气味较浓。', '短评打分': 5}
{'短评内容': '因要在拱墅区办事，所以选择这家离得近的酒店.周边自然环境还不错，整体设施很新.但是酒店的食物味道较差，不精致，尤其是西餐，点了个奶油玉米汤，感觉就是很老的玉米粒加在白糖水里。还有就是房间里都没有浴袍，打电话问前台，说是因为2月份刚开业，还没有准备好～～无语～', '短评打分': 5}
{'短评内容': '设施及服务很好,物有所值', '短评打分': 5}
{'短评内容': '新酒店，有味道，不值得住，不推荐，早餐尤其不好。', '短评打分': 1}
