{'短评内容': '房间一般，配套齐全，但设施比较旧', '短评打分': 4}
{'短评内容': '还行吧', '短评打分': 5}
{'短评内容': '无语', '短评打分': 2}
{'短评内容': '不错，挺好的', '短评打分': 5}
{'短评内容': '再也不会住这里了 这种环境根本无法安心入睡', '短评打分': 2}
{'短评内容': '挺差的，空调是坏的，电视机没遥控，WIFI没有网络，热水一点也不热，隔音差，靠马路，卫生间的汽车噪音很大，要关着卫生间的门才可以，床头灯有开关却没灯，卫生间抽风机也是坏的。。。', '短评打分': 3}
{'短评内容': '哇哈哈', '短评打分': 5}
{'短评内容': '房间装修差，服务好', '短评打分': 5}
{'短评内容': '真心不咋地，第一次碰到了这么一般的7天', '短评打分': 5}
{'短评内容': '111111111', '短评打分': 5}
{'短评内容': '好是好，可是一开始给的房间给错了，服务员的态度也不怎么样，但房间倒挺不错', '短评打分': 5}
{'短评内容': '还可以，比较干净', '短评打分': 5}
{'短评内容': '服务环境都很好！', '短评打分': 5}
{'短评内容': '一个字，烂到家了！', '短评打分': 2}
{'短评内容': '床头插座有点少……房间一般吧 不过周边配套不错 离地铁口走路10分钟 地铁口上边就有个商场', '短评打分': 4}
{'短评内容': '挺不错的。', '短评打分': 5}
{'短评内容': '环境舒适，干净卫生，服务好！', '短评打分': 5}
{'短评内容': '好评', '短评打分': 5}
{'短评内容': '服务态度超好。房间也很干净。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '环境还可以  设施一般', '短评打分': 4}
{'短评内容': '还行。。。。。。。', '短评打分': 4}
{'短评内容': '很干净~', '短评打分': 5}
{'短评内容': '商务套房被吭，就是两个大床房～', '短评打分': 3}
