{'descr': '很好 很大 不吵', 'star': 5}
{'descr': '酒店位置不错。离景点近。不错的选择', 'star': 5}
{'descr': '非常不错，服务态度很好', 'star': 5}
{'descr': '地理位置好，干净', 'star': 5}
{'descr': '位置很好找，离外滩非常近，价格便宜，中规中矩的锦江之星连锁。就是隔音效果不太好，又或者旁边屋的声音有点大！', 'star': 4}
{'descr': '很干净，交通方便', 'star': 5}
{'descr': '位置自然是好，南京路外滩都很近。不过条件很一般，隔音几乎没有。我估计那片的快捷酒店大致都这样。毕竟大上海。', 'star': 4}
{'descr': '不好，服务态度也不好', 'star': 3}
{'descr': '很好 不错', 'star': 5}
{'descr': '不错不错', 'star': 5}
{'descr': '很好很好很好很好', 'star': 5}
{'descr': '很好很好很好很好', 'star': 5}
{'descr': '很好很好很好很好很好', 'star': 5}
{'descr': '还没住，相信锦江之星', 'star': 5}
{'descr': '之所以买这个东西，是因为可以满足以下条件：商品质量放心，价格与其它平台相比有优势，促销活动给力，支付方便，物流配送及时，快递员热情敬业&hellip;&hellip;说一千道一万，关键是需要，甭管是自已用还是送人。', 'star': 5}
{'descr': '很好很舒服，服务态度不错', 'star': 5}
{'descr': '地点不错离外滩不太远，附近美食也很多，就是房间有点小，别的都挺好', 'star': 5}
{'descr': '酒店很好，到店后还免费升级了标间，很满意，下次还会住这里。', 'star': 5}
{'descr': '挺好！！！！！！！！！！！！', 'star': 5}
{'descr': '环境不错，干净整洁。对锦江的印象一直很好', 'star': 5}
{'descr': '环境不错，干净整洁。对锦江的印象一直很好', 'star': 5}
{'descr': '给升级标间了，两张床我一个人睡，不喜欢', 'star': 4}
{'descr': '还是觉得锦江之星比汉庭住着舒服干净', 'star': 5}
{'descr': '还可以，房间不是很大', 'star': 4}
{'descr': '店员很赞', 'star': 5}
{'descr': '感觉很不错，价格很实惠，环境也不错，我和男朋友都很喜欢！！！！！！！！！！！！！！！！！！！！！！！！！！！', 'star': 5}
{'descr': '很不错', 'star': 5}
{'descr': '酒店不错，离外滩很近，价格也可以', 'star': 5}
{'descr': '不错，就是楼层低了点', 'star': 5}
{'descr': '挺好的。不过个人觉得和便宜的房型没什么差', 'star': 5}
{'descr': '一如既往的锦江之星，挺好的', 'star': 5}
{'descr': '隔音太差', 'star': 4}
{'descr': '服务还可以 交通方便离外滩比较近 可能是经济酒店的缘故设施一般', 'star': 4}
{'descr': '这是住过的最好的锦江之星。环境和服务都很满意。', 'star': 5}
{'descr': '位置不错，离外滩、南京路步行街都很近。酒店很干净，住着舒心', 'star': 5}
{'descr': '一直都觉得锦江之星不错。服务好，干净。经济型酒店中，一般都选择这家', 'star': 5}
{'descr': '位置不错，但门脸太小，险些错过。', 'star': 3}
{'descr': '第二次入住带着家人一块，一张大床，一张小床，三口之家正合适。离外滩很近。方便，离不远就有饭店、迪亚天天超市。', 'star': 5}
{'descr': '第二次入住了。就是看重酒店外滩近，方便。客房很干净。就是客房布局像迷宫似的，找了半天才找到房间。', 'star': 5}
{'descr': '虽然贵了点，但还算卫生', 'star': 3}
{'descr': '地理位置较好，离外滩近。朋友住了很满意！', 'star': 5}
{'descr': '不错，干净，下次还会选择', 'star': 3}
{'descr': '房间干净，地理位置好，只是有点小', 'star': 3}
{'descr': '我是给家人订的，据家人说房子很新很干净，打车到的店也很方便。很满意。', 'star': 5}
{'descr': '房间还行，很干净，就是离地铁站稍微远点', 'star': 3}
{'descr': '房间还行，很干净，就是离地铁站稍微远点', 'star': 3}
