{'短评内容': '服务态度不行！很差！服务态度让人压根就不想住！没到入住时间提前半天要退房还不同意，大清早找也找不到！吹了半小时的冷风', '短评打分': 1}
{'短评内容': '满意', '短评打分': 5}
{'短评内容': '帮父母一起分开订的，所以照片相同。这地段这价格这设施真的没谁了！非常不错，下次来还会订的，也会推荐朋友预定。老板很热心，服务也很到位，但请各位记得自备洗漱用品哦！', '短评打分': 5}
{'短评内容': '这地段这价格这设施真的没谁了！非常不错，下次来还会订的，也会推荐朋友预定。老板很热心，服务也很到位，但请各位记得自备洗漱用品哦！', '短评打分': 5}
{'短评内容': '满意！', '短评打分': 5}
{'短评内容': '服务不错，在这地方能有这种酒店挺方便！', '短评打分': 4}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '还不错，性比价很高！', '短评打分': 5}
{'短评内容': '还不错，性比价很高！', '短评打分': 5}
{'短评内容': '还不错，性比价很高！', '短评打分': 5}
{'短评内容': '公寓式的住宅。 冰箱洗衣机微波炉独立卫浴一应俱全。 性价比很高', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '干净暖和', '短评打分': 5}
{'短评内容': '靠近地铁站。附近商店和餐厅也很多，挺方便的。', '短评打分': 4}
{'短评内容': '公司隔壁，适合长期入住的客人，里面有洗衣机，有可以做饭的基本炊具。', '短评打分': 5}
