{'短评内容': '服务员的态度非常好', '短评打分': 5}
{'短评内容': '位置优越，出行方便，干净卫生', '短评打分': 5}
{'短评内容': '服务好，位置优越，房间卫生', '短评打分': 5}
{'短评内容': '房间7设施不错，也还宽敞，就是卫生间太小了，洗澡地方小，不太方便。打车方便，吃饭也还行，有自己的食堂，35元中午和晚上都是这个价。', '短评打分': 5}
{'短评内容': '服务很周到，也很贴心！安静，干净整洁！', '短评打分': 5}
{'短评内容': '不错挺好的。。玩得愉快。。。哈哈哈哈', '短评打分': 5}
{'短评内容': '不太理想，酒店许诺是全部房间升级为电脑房，知道我是用京东酒店预定的房间，把房间内的电脑撤走了，还有，房间没有台灯，写字看书很不方便，热水器水特别少，洗十分钟不到就变成凉水了，设备很落后啊，ps:自助餐还不错', '短评打分': 5}
{'短评内容': '和家宾馆环境挺好房间挺大好评。', '短评打分': 5}
{'短评内容': '价格实惠，不错', '短评打分': 5}
{'短评内容': '酒店服务水平很高，设施需要改进。', '短评打分': 5}
{'短评内容': '最大优势是位置，市中心，交通便利！', '短评打分': 4}
{'短评内容': '虽然宾馆楼房比较老旧，不过服务态度，房间卫生，周边环境，真的很不错，好评', '短评打分': 5}
{'短评内容': '设备设施比较老旧，但还算可以', '短评打分': 4}
{'短评内容': '地理位置好，吃住方便，里有实惠自助歺，不错。', '短评打分': 4}
{'短评内容': '服务很热情，但室内有些设施陈旧，房间还较干净，交通比较方便。吃得比较方便、健康。希望在价格方面住一周以上多优惠。', '短评打分': 4}
{'短评内容': '很干净，服务人员非常热情，交通也很便利，有停车场', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '前台服务员超级热情，服务态度好，交通方便，还会再去住', '短评打分': 3}
