{'descr': '如家的设施确实不错', 'star': 5}
{'descr': '干净，安静，整洁', 'star': 5}
{'descr': '环境好，服务好，还有停车场！', 'star': 5}
{'descr': '环境舒适，服务很好，热情！还有停车厂！出差旅行首选！', 'star': 5}
{'descr': '可以，经常住', 'star': 5}
{'descr': '挺好的，干净', 'star': 5}
{'descr': '很满意也很温馨', 'star': 5}
{'descr': '竟然订房失败，嫌价格太低吗？而且不能马上出结果，害我前台站了好久，还不退优惠券', 'star': 5}
{'descr': '携程的订单，价格比官网便宜', 'star': 5}
{'descr': '环境舒适，服务周到，很温馨！', 'star': 5}
{'descr': '很好入住感受，只能说很温馨！', 'star': 5}
{'descr': '酒店很乾凈，服務也好。只是週邊太冷清，吃東西，買東西都要走較遠。', 'star': 4}
{'descr': '酒店非常干净，环境非常好，以后还会光顾.', 'star': 5}
{'descr': '挺好的', 'star': 5}
{'descr': '卫生很好，洗澡水热得快，床很舒服，被褥很干净，前台接待服务态度很好，办入住退房很快，下次还会再选择这个店', 'star': 5}
{'descr': '过了一个多月才想起来评价 。当时自己来的，大冷天的没想到还有暖气不错不错！周围没什么娱乐的地方、因为是来考试所以不需要那么多就定了这里。而且这里离西站很近的，打车起步价就到了，出门就有公交站牌很方便的。总之很不错。', 'star': 5}
{'descr': '环境优雅，房价不高，网速很快的，真心不错', 'star': 5}
{'descr': '酒店员工素质都非常高，无论是在大堂还是在走廊里只要见到服务人员的身影，都会听到真诚的问候声，感觉暖暖的', 'star': 5}
{'descr': '卫生环境都很好，热情周到', 'star': 5}
{'descr': '经理很热情，经济实惠', 'star': 5}
{'descr': '服务好暖气好，热情周到', 'star': 5}
{'descr': '酒店很大，房间也很多，但是不得不错早餐不怎么样。', 'star': 5}
{'descr': '第一次住如家，卫生安静，就是地方有点小偏，离一汽老巢不远，以后会是首选之一', 'star': 5}
{'descr': '服务热情周到，而且酒店非常宽敞，一个字棒!!', 'star': 3}
{'descr': '如家一如既往的干净整洁和很好的服务，服务很周到，非常人性化。', 'star': 5}
{'descr': '有很大的房间，非常好。', 'star': 3}
{'descr': '还可以，就是餐厅不好，菜品很少，做好一点更好了', 'star': 5}
{'descr': '酒店总体感觉还算不错，餐厅服务态度好，建议早餐增加和变换水果样式', 'star': 5}
{'descr': '开业应该没有多久，房间设施还挺新的。就是房间隔音不好，上网速度太慢了，尤其是晚上。早餐太单调了，8点过后就没有什么吃的了。', 'star': 5}
{'descr': '不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错', 'star': 5}
{'descr': '酒店挺大 餐厅也不错 房间卫生干净 下次还住这家 ', 'star': 5}
{'descr': '酒店挺好的，可能是因为住的时间长了，单间的价格给我一个双人间，值得推荐。', 'star': 5}
{'descr': '酒店价格实在，服务周到，性价比高，美中不足的是靠马路边的房间车辆响声有点大。', 'star': 5}
{'descr': '酒店设施很新，但是位置有点偏。如果去一汽办事，还是可以考虑的。', 'star': 5}
{'descr': '第二次住了，还不错', 'star': 3}
{'descr': '离一汽大众很近，酒店卫生也不错，下次还会住这里', 'star': 5}
{'descr': '服务非常好，房间干净卫生，暖气很足，非常值得推荐。', 'star': 5}
{'descr': '服务非常好，房间干净，暖气很足，非常不错值得推荐。', 'star': 5}
{'descr': '安静，服务态度好。距离办事地方很近步行可以到达。\n', 'star': 5}
{'descr': '环境很好', 'star': 3}
{'descr': '环境不错，安静，服务也很好,下次过来时还是选择如家快捷酒店', 'star': 5}
{'descr': '挺好的呢....住那考试的，服务特别的好，挺干净的就是有点吵隔音效果不好', 'star': 5}
