{'短评内容': '环境很好，前台服务员很热情！有机会还会入住！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '房间还行，服务差，大堂low', '短评打分': 4}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '地理位置还行，去锦里那些地方也很方便', '短评打分': 4}
{'短评内容': '周边环境比较清净，去市区也很方便。', '短评打分': 4}
{'短评内容': '非常一般，环境不好', '短评打分': 3}
{'短评内容': '空调漏水，盥洗池下排水损坏，墙纸脱落，地毯烂兮兮的，灯泡缺失，什么破酒店，还好意思三星。哪里来的勇气', '短评打分': 2}
{'短评内容': '不是很好,价格和房间不匹配,唉！可能是比较长了,设备也不好', '短评打分': 1}
{'短评内容': '设备简陋', '短评打分': 2}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不咋地。', '短评打分': 3}
{'短评内容': '无', '短评打分': 5}
{'短评内容': '第二次入住该酒店了，每次都有改进，不一样的感觉，客服中心服务态度很好，需要的东西很及时，', '短评打分': 5}
{'短评内容': '交通方便，价格实惠 离办事地方很近 很方便，工作人员也很热情很满意', '短评打分': 5}
{'短评内容': '国庆入住，价格比平时高了不少。房间大，设施一般。', '短评打分': 3}
{'短评内容': '房间大 住宿舒适', '短评打分': 3}
{'短评内容': '房间大，比较舒适，感觉很不错，服务好，下次来成都，还会住这里。', '短评打分': 5}
{'短评内容': '不符合4星级。周边全是汽车配件跟卖家私的。不太方便', '短评打分': 1}
