{'短评内容': '非常不错，温馨舒适，古朴浪漫。', '短评打分': 5}
{'短评内容': '比想象的好多啦', '短评打分': 5}
{'短评内容': '国庆期间在云来客栈住过，翡翠大王的老宅，特幽静，老板人很nice，所以推荐朋友带妈妈去腾冲游玩的时候住在这里。', '短评打分': 5}
{'短评内容': '客栈是翡翠大王的旧宅，历史悠久。纯木制两层阁楼，古朴舒适。院子里各种花花草草的植物，形成一个天然大养吧，喝茶，聊天，发呆随便你，还有“抱抱”', '短评打分': 5}
{'短评内容': '一个人来到腾冲，只为祭奠远征军牺牲的先烈们。云来客栈地处和顺合古城，是翡翠大王的老宅，上百年的历史，安静舒适。老板娘很和善。', '短评打分': 5}
{'短评内容': '老板热情，不错', '短评打分': 5}
{'短评内容': '古宅子有历史有院子有花草有茶喝有阳光有星星有月亮有美女有温情有小狗有大狗有不经意收获的感动，下次再会吧！够朋友吧……', '短评打分': 5}
{'短评内容': '好，不错，都很好。又回来住多一晚', '短评打分': 5}
{'短评内容': '环境优雅、服务态度好、设施齐全，价格合理', '短评打分': 5}
{'短评内容': '很有格调，老板一家很热情。两只狗狗很可爱，朋友来也会推荐。', '短评打分': 4}
{'短评内容': '客栈位于古镇内，是一栋有历史感甚至是文物价值的古建筑；老板的服务非常周到，一家人都非常热情，', '短评打分': 5}
{'短评内容': '美女老板，热情，耐心，位置好，环境不错。', '短评打分': 5}
{'短评内容': '真心不错，安静但又离游玩中心点不远。老板漂亮，热情，帮我们设计行程。房间不错，院子更加是最棒的。', '短评打分': 5}
{'短评内容': '值得推荐的老城客栈！', '短评打分': 3}
{'短评内容': '交通方便，停车走几十米就到。老板还热情、茶也不错，老式居民楼干净卫生。很喜欢那条庸懒的松狮犬', '短评打分': 3}
{'短评内容': '可惜没早餐提供……', '短评打分': 5}
