{'短评内容': '还行，当地性价比较高的酒店！', '短评打分': 5}
{'短评内容': '小城市的酒店，在当地还可以。和好点的城市的比差好多', '短评打分': 3}
{'短评内容': "这辈子第一次住那么差的酒店，服务人员表情，口气僵硬。电视机古董还不说，更要命的还卡机。一股浓浓的异味，电线外露，千丝百缕，一晚未睡着。害我开车没精神，我也不知道那老板那么‘‘厉害’'。还敢挂四星级酒店。", '短评打分': 1}
{'短评内容': '设施陈旧了些，早餐种类也确实少。不过按性价比还行吧。', '短评打分': 4}
{'短评内容': '不错吧，这个城市也就这样了。', '短评打分': 3}
{'短评内容': '总体在这个城市来讲，还是比较可以的了', '短评打分': 4}
{'短评内容': '房间比较小，电视机是老式的，非液晶', '短评打分': 4}
{'短评内容': '一般般', '短评打分': 3}
{'短评内容': '服务可以，设施一般。', '短评打分': 3}
{'短评内容': '很一般，', '短评打分': 2}
{'短评内容': '酒店不错，订的标双，前台服务员给我换到商务双间，酒店总经理和客房服务员亲自送了水果和牛奶，很温馨，赞一个', '短评打分': 3}
