{'短评内容': '周围环境和房间装修稍差，但是很干净，价格也不错！', '短评打分': 5}
{'短评内容': '酒店很干净，交通也比较方便。', '短评打分': 3}
{'短评内容': '位置有点难找，不过硬件条件还行，安静。卫生间打扫的还算干净就是空调不对床夏天不够凉快。', '短评打分': 5}
{'短评内容': '除了离火车站近外，没有太多优点了，房子优点陈旧', '短评打分': 5}
{'短评内容': '还不错吧，主要是靠宁波东站很近，出行方便', '短评打分': 5}
{'短评内容': '这个价位，这个位置，实在是没什么话说。。。。不错，就是蚊子有点多！！！', '短评打分': 5}
{'短评内容': '交通比较方便，卫生还不错，服务态度不错。下次继续住！', '短评打分': 5}
{'短评内容': '这次是来出差的，离现代市场很近步行就到了，工作方便，下次来出差还是选择这一家！', '短评打分': 5}
{'短评内容': '离火车站很近！就是房间像迷宫一样，楼层有点矮，压抑！不过这个价格有这样的房间差不多了！', '短评打分': 5}
{'短评内容': '  酒店离火车站近,方便干净经济,价格也不错', '短评打分': 3}
{'短评内容': '还可以，离火车站很近，就是蚊子有点多，酒店的灭蚊片好像质量部怎么好，蚊子灭不了！！', '短评打分': 5}
{'短评内容': '楼道像个迷宫，太难找房间了。房间住的很舒适，灯光很多，睡觉很有感觉。还不错', '短评打分': 3}
{'短评内容': '第二次入位;感觉有蚊子活动;虽然酒店配置驱蚊器;但效果有限;建议酒店方在这方面加强！', '短评打分': 3}
{'短评内容': '还算干净。   有点旧', '短评打分': 3}
{'短评内容': '酒店有点旧，酒店内走廊内很闷！不过也算干净，对得住这价格，周围的是装饰市场，没什么易食，最好外面食饱了回来！', '短评打分': 1}
{'短评内容': '安静整洁，还不错，就是有蚊子', '短评打分': 3}
{'短评内容': '房间格局不错;就是有点气味不佳。就这个价格还算值得吧;不错！', '短评打分': 3}
{'短评内容': '房间整体还可以，价格比较实惠，下次如果在东站住还选择这里。但是有几点需要改进，第一房间全部是楼梯，要自己爬上去。第二，房间不太好找，都是三层房子连起来的，第一次来的人，楼梯通道容易走错房间，服务员指路不太明确。第三，床单该换了，那么大一块的脏的斑点，清洁的人每次打扫房间就看不到的？', '短评打分': 5}
{'短评内容': '价格便宜，主要是内设有些陈旧，离火车站近。', '短评打分': 5}
{'短评内容': '干净，设施齐备，安静，服务好，值得推荐！下次又去住这家！', '短评打分': 5}
{'短评内容': '环境还可以 算是干净。', '短评打分': 3}
{'短评内容': '非常舒服，很好。', '短评打分': 3}
{'短评内容': '还算安静。。。离火车站近，走路十分钟就到了。。有点不满意的就是设施有点旧离。。', '短评打分': 5}
{'短评内容': '整体还行吧。不过离火车站举例还是远了点，走太远导致我的拉杆箱都坏了。', '短评打分': 5}
{'短评内容': '酒店真的不用说。。很垃圾。。。网线不能用，而且酒店设施很旧。。以后不会选择这家酒店了', '短评打分': 1}
{'短评内容': ',这酒店干净实惠', '短评打分': 3}
