{'短评内容': '硬件设施还是很不错的！', '短评打分': 5}
{'短评内容': '感觉很好，很舒服', '短评打分': 5}
{'短评内容': '很愉快的一次入住！', '短评打分': 5}
{'短评内容': '酒店在真容寺旁边，地理位置优越。早餐丰富，停车场很大，房间设施还不错，房间的地暖特别暖和，值得推荐的一个地方！', '短评打分': 5}
{'短评内容': '早餐可以，适合带孩子，暖气相当暖和，酒店位置就在大街上，一眼就可以找到，停车场也够大的，服务员的态度也挺好的', '短评打分': 5}
{'短评内容': '酒店不小，设施太陈旧了。', '短评打分': 5}
{'短评内容': '房价，在目前价格较高，设施与景下区方便。应该在淡季零活价格，早餐一人三十元，较贵，也没多少东西。酒店较安全，清静，还没有专用发票，与三星级的酒店相匹配不够。', '短评打分': 4}
{'短评内容': '在五台山真容寺旁边。很安静，房间设施可能由于太久远所以还是能住就行了。出去到寺庙很快。总体来讲这个酒店很古朴，但是方便。蚂蚁多。', '短评打分': 4}
{'短评内容': '地理位置不错，就在马路边上，出入很方便。', '短评打分': 5}
{'短评内容': '宾馆外面看很不错，院子挺大可以停车，但服务态度差，卫生也不好房间竟然连吹风机都没有，还得去服务台要，Wi-Fi跟没有一样连上也不好用', '短评打分': 3}
{'短评内容': '还行吧。五台里面比较好的乐', '短评打分': 4}
{'短评内容': '早餐非常丰盛，设备比较旧', '短评打分': 3}
{'短评内容': '酒店有点老了，设施应该再更新一下，不过在五台山的三星要求也不能太高', '短评打分': 3}
{'短评内容': '风景环境都不错，价格嘛国内的景区都一个样，房间干净，但是洗手间设施陈旧下水有问题早上还没热水，好不好，去了才知道，，，', '短评打分': 3}
{'短评内容': '服务差，总台老服务员没笑脸，房间面池下面漏水，房间灯太暗。', '短评打分': 3}
{'短评内容': '古老的装修！没有翻修！！', '短评打分': 3}
