{'短评内容': '不太好啊吧', '短评打分': 1}
{'短评内容': '还好，一般', '短评打分': 5}
{'短评内容': '干净卫生还可以', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '位置可以 停车场不太方便', '短评打分': 4}
{'短评内容': '宽敞明亮！设施齐全！交通方便！', '短评打分': 5}
{'短评内容': '比较旧，卫生条件差', '短评打分': 3}
{'短评内容': '房间还可以，在十字路口边有点吵！总体不错吧！', '短评打分': 5}
{'短评内容': '一般一般一般', '短评打分': 3}
{'短评内容': '很棒，讲真，在那个地段这个价格起码400＋，空间特别大，比较喜欢', '短评打分': 5}
{'短评内容': '房间设施还不错，被隔壁房吵死了，说话太清楚了', '短评打分': 4}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '订的不是这家酒店，是被携程换订到这家的。入住后真想骂携程是不是瞎了眼安排这么差的酒店，旧脏差臭，就是免费我都不会入住，还那么贵，当时如不是提前预付了房费真不会入住，好在自己有床单勉强住一晚，从此南昌红谷滩给我留下阴影。。。。    ', '短评打分': 2}
{'短评内容': '位置很方便，超市吃饭的地方都很近', '短评打分': 4}
{'短评内容': '出门在外在外最担心的是卫生问题，在这里住感觉比较放心。', '短评打分': 5}
{'短评内容': '两个字，太差！', '短评打分': 2}
