{'短评内容': '因为在附近办事，方便', '短评打分': 5}
{'短评内容': '环境好，价格优惠，服务好，干净', '短评打分': 5}
{'短评内容': '非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好', '短评打分': 5}
{'短评内容': '非常好非常好非常好', '短评打分': 5}
{'短评内容': '很好，服务态度好', '短评打分': 5}
{'短评内容': '老外反馈不错', '短评打分': 5}
{'短评内容': '酒店地理位置好，离客户公司近，地铁站出来走10-15分钟到，酒店隔音效果好，卫生不错，床单干净，枕头够软', '短评打分': 4}
{'短评内容': '酒店性价比好，香格里拉酒店管理集团管理，房间设施整洁，周边有公园可以散步，餐饮选择多，酒店餐饮也不错。', '短评打分': 5}
{'短评内容': '整体还是非常不错的，在北京国际会议中心开会，不是太远，酒店各方面都很不错，就是北京雾霾太严重了，到了北京不管住哪儿总是感觉不是太舒服', '短评打分': 5}
{'短评内容': '非常方便的酒店', '短评打分': 5}
{'短评内容': '很安静的酒店。', '短评打分': 5}
{'短评内容': '一般，还过得去', '短评打分': 4}
{'短评内容': '明明订的是大床房，到店说没有大床房型，但看到旁边团队订的给的都是大床，表示各种不爽', '短评打分': 3}
{'短评内容': '服务好，酒店略旧', '短评打分': 5}
{'短评内容': '前台的服务员很不耐烦，入住的时间很晚了，办理入住的时候，可能是因为电脑小小故障，一会儿扔笔一会儿扔鼠标，非常不耐烦的样子。对酒店的印象大大打折，这个价格这样的服务，不太值！', '短评打分': 2}
{'短评内容': '推荐下！酒店环境，服务，房间，都不错！并且，入住的感觉很不错！', '短评打分': 5}
{'短评内容': '酒店环境好，房间舒适，服务也不错，除了交通稍显不便。但是值得推荐！', '短评打分': 5}
{'短评内容': '交通略微有些不便，比较难叫到出租车。另外，冰箱不冷，据服务员说，温度设定在10度，不能调整，到了夏天应该很不爽吧。', '短评打分': 5}
{'短评内容': '酒店很不错，总是帮朋友订这家的，服务也很不错', '短评打分': 5}
{'短评内容': '酒店的SPA一流，让人劳累一天后可以得到充分的放松。', '短评打分': 5}
{'短评内容': '客人喜欢住这家酒店，指定要订的，设施应该不错。', '短评打分': 5}
{'短评内容': '第一次订这家酒店，是客人自己选择的，应该有他的道理吧。', '短评打分': 5}
{'短评内容': '给客户订过很多次了，酒店很新， 设施及位置都非常好。', '短评打分': 5}
{'短评内容': '朋友介绍后，介绍客户入住的，大家感觉不错，正好赶上北京到处都是盛开的鲜花，阳光明媚很舒服。', '短评打分': 5}
{'短评内容': '给客户订的， 订过很多次了，客户对北京上东盛贸饭店的反映都不错。 ', '短评打分': 5}
{'短评内容': '交通很方便，到机场到十几分钟车程，到CBD20分钟车程，酒店设施比较新，服务也不错，希望以后能有更多优惠，谢谢。', '短评打分': 5}
{'短评内容': '值的', '短评打分': 3}
{'短评内容': '地理位置不错，交通方便，很好找。风格比较简洁，也比较简单，所以显得价格偏高。', '短评打分': 5}
{'短评内容': '去机场还行，硬件设施一般！房间较小！！！！！！', '短评打分': 5}
{'短评内容': '房间舒适', '短评打分': 3}
{'短评内容': '卫生不错房间设施比较新的，酒店环境还是很不错，酒店附近出行也很方便离机场也很近，但是可能周围商业区就没什么吃饭特别不方便，不过价格感觉还是稍微偏贵了些。', '短评打分': 5}
{'短评内容': '1000多的价格还算可以，不过北京今年的酒店都涨价了，所以这家酒店的性价比算不错的。行政层的服务挺好，早餐很精致就是种类有点少。服务人员态度很好。提点意见就是，服务人员不要在大堂里随意的聊天。', '短评打分': 5}
{'短评内容': '酒店位置好方便出行，其它各方面条件一般.当时入住时给我安排的是没打扫过的酒店，后来又换得，服务方面有待提高.', '短评打分': 3}
{'短评内容': '北京上东盛贸饭店（原上东商贸饭店） 位置设施都不错，还会再订', '短评打分': 5}
{'短评内容': '酒店的环境还可以，房间的卫生设施还不错，位置也是挺好找标志也很明显、价格还是有些偏高。', '短评打分': 3}
{'短评内容': '服务卫生都很不错，设施也是一流的，出行也很方便，整体感觉相当不错。', '短评打分': 5}
{'短评内容': '很不错的酒店，已经来过好多次了~', '短评打分': 5}
{'短评内容': '酒店比较新，设施不错，促销时的价格也可以，现在比较贵。', '短评打分': 5}
{'短评内容': '服务很好，酒店设施一般，但是还是可以接受的。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '房间没有浴缸，价格偏高', '短评打分': 5}
{'短评内容': '好 推荐', '短评打分': 5}
{'短评内容': '帮老外预订，很满意。香格里拉旗下的品牌，品质还是有保证的。位置不错，从机场过来还是很方便的，离机场告诉不远，但是目前因为酒店较新，很多出租车司机还不是很熟悉。', '短评打分': 5}
