{'短评内容': '还可以吧，弄的还算干净', '短评打分': 5}
{'短评内容': '还是不错的。服务周到。接待热情。', '短评打分': 5}
{'短评内容': '酒店有点老旧。设施一般。光线通风一般。但地点绝对一流，附近餐饮服务多，推荐吴门人家，苏州菜正宗一流！酒店对面是狮子林，离苏州博物馆和拙政园步行约十分钟。性价比超高。有卫生癖好者慎重。', '短评打分': 5}
{'短评内容': '地点绝对一流。就在狮子林对面，性价比很好。酒店虽然有重新装修过，但仍显得老旧。设施也过于简单。老板人很好，周到细致，会给很多有用的信息和建议，是可以信任的朋友。', '短评打分': 5}
{'短评内容': '不错的地理位置', '短评打分': 4}
{'短评内容': '不错的地理位置……各方面都很好！', '短评打分': 4}
{'短评内容': '好小，环境不是很好，隔音不好，不过离狮子林还是比较近的，唯一优点。', '短评打分': 3}
{'短评内容': '酒店不大，位置很好，狮子林旁边，出行很方便。房间大小也可以', '短评打分': 4}
{'短评内容': '不错，离景点很近，前台很热心', '短评打分': 5}
{'短评内容': '酒店很好的酒店到学校时很方便。', '短评打分': 3}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '酒店环境很安静，就在狮子林旁边 ，离平江路也很近，还不错', '短评打分': 5}
{'短评内容': '由于本人到宾馆达时间比网上预定时间提前了一天，酒店客房比较紧张，但是工作人员还是热心的为我安排了房间，价格还是按网上预订的，个人这家宾馆不错。\n宾馆离狮子林、拙政园很近，离火车站、汽车站也不远，出宾馆不远就是公交站点，出行比较方便。', '短评打分': 5}
{'短评内容': '可能是我们到晚了，剩下最后一间标间，在一楼，很小，卫生间有异味，但是老板的态度很好，很热情，帮我们在网上买车票，对我们咨询的事情，百问不烦，这家店离狮子林和拙政园很近，很方便，离观前街也不算远，公车过去三个站左右，如果不怕累走过去也可以，还是 比较推荐的', '短评打分': 5}
{'短评内容': '优点：离拙政园、狮子林、苏州博物馆比较近。\n      老板人比较不错，晚上电视有问题，立马解决，还把自己的电视换过来。\n缺点：房间就那样，没有亮点。房间的灯还有不亮。', '短评打分': 5}
{'短评内容': '房间舒适干净，前台服务热情。推荐！', '短评打分': 3}
{'短评内容': '交通很方便 对面就是狮子林南门 离拙政园 观前街挺近的  但是设施有点老化 环境一般', '短评打分': 5}
{'短评内容': '地理位置不错，到狮子林，拙政园，苏州博物馆都很近。晚上挺安静的，适合休息', '短评打分': 5}
{'短评内容': '酒店很干净，设施也很齐全。我们到的时候才9点多，前台服务很热情的给准备房间，使得很快就入住了，还以为要等的12点呢，总之很满意。孩子们也很喜欢！', '短评打分': 5}
{'短评内容': '房间够大，环境优雅，安静，装修也不错，服务态度挺好。唯一不足就是不能刷卡，发票开始说打印机坏了，后来坚持要才给打印。另外热水器要记得自己开，不然晚上回来洗澡还得等烧水。总体来说还不错。', '短评打分': 5}
{'短评内容': '已经入住佳和，环境不错，房间干净明亮，又在狮子林附近，旁边有小吃街！很满意哦！', '短评打分': 3}
{'短评内容': '客观地说，地理位置及房间都ok。\n不足之处：\n1.临街一侧房间比较嘈杂；\n2.没有兑现每夜返还10元的承诺；\n3.结账之后行李寄存1小时须另交费每件行李10元；\n4.在附近致电旅馆前台工作人员询问如何抵达，答曰：我是外地的，我也不知。', '短评打分': 1}
{'短评内容': '还不错~干净 房间整洁 舒适 关键是离景区近~和同事一起来的 大家都很满意~', '短评打分': 5}
{'短评内容': '酒店位置很好，离是自愿和拙政园都非常近，设施完备，干净整洁，睡觉很舒适，很安静，强烈推荐这家宾馆！', '短评打分': 5}
{'短评内容': '酒店位置很好，紧挨狮子林，离拙政园也很近，还很肃静，朋友们很满意。', '短评打分': 5}
{'短评内容': '装修新，位置好，非常不错，下次继续订他们家。感觉服务也很好，靠近狮子林', '短评打分': 5}
