{'短评内容': '离黄龙体育馆特别近 看完演唱会直接回酒店特别方便', '短评打分': 5}
{'短评内容': '有停车场，早餐没吃。房间干净舒适，如家牌子还是过得去的。附近很繁华，晚上出去都是吃的，也挺安静的，可以。', '短评打分': 5}
{'短评内容': '酒店位置可以，周边吃的多。', '短评打分': 5}
{'短评内容': '房间挺大，周边吃饭也方便，就是住的房间窗户不能关，酒店说那个窗就是卡死的，客满没办法换房将就一晚', '短评打分': 5}
{'短评内容': '房间小巧，但麻雀虽小五脏还是较全，价格应再亲民些，毕竟周边只是离黄龙体育中心近点，其他优势不明显。', '短评打分': 4}
{'短评内容': '看演唱会位置方便', '短评打分': 4}
{'短评内容': '交通方便，周围吃饭买东西的店都比较多，走路大概15分钟到黄龙体育中心', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '环境挺不错', '短评打分': 5}
{'短评内容': '周围环境安静优雅，房间也比较整齐干净', '短评打分': 5}
{'短评内容': '酒店离西湖很近，周围有许多小吃，非常适合商务出差旅游', '短评打分': 5}
{'短评内容': '交通便利，房间整洁，性价比高，值得入住', '短评打分': 4}
{'短评内容': '酒店还不错，离考试地方近  ', '短评打分': 5}
{'短评内容': '价格优惠，地理位置不错，还有停车泊位，就在市中心，强烈推荐！', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': ' 整体环境还不错\u3000就是卫生间非常小', '短评打分': 3}
{'短评内容': '酒店房间虽然小，但是很干净，服务人员也很热情。商务或者旅行都很适合。', '短评打分': 5}
{'短评内容': '服務很不錯！', '短评打分': 3}
{'短评内容': '还行。。。就是没电吹风。。。。。。。服务一般', '短评打分': 5}
{'短评内容': '一如以往如家的风格，新装修的设施都是较新的，不过气味也是较重的…', '短评打分': 3}
{'短评内容': '酒店比较新，满干净的', '短评打分': 3}
{'短评内容': '很干净隔音不好', '短评打分': 3}
{'短评内容': '住得挺舒服的 很干净', '短评打分': 3}
{'短评内容': '酒店很新，地理位置也不错。非常值得推荐，离西湖也比较近', '短评打分': 5}
