{'短评内容': '一般，不能延迟退房', '短评打分': 3}
{'短评内容': '地理位置不错，其他都很差。房间很简陋，门锁还是坏的，完全锁不上，灯光昏暗，显得非常不干净。唯一值得一提的是早餐，品种很多，味道也不错。', '短评打分': 2}
{'短评内容': '酒店很好，很宽敞，服务也好，而且还是在商业一带的中心！', '短评打分': 5}
{'短评内容': '携程与酒店沟通有问题，为了押金，退单，扣了一元手续费，让人不爽。', '短评打分': 4}
{'短评内容': '酒店设施陈旧，不过卫生还可以。', '短评打分': 3}
{'短评内容': '无效率的前台，斑驳的墙璧，子弹孔一样的地毯，菜干似的毛巾， 每时每刻的404网络，聊胜于无的袖珍空调，到处自圆其说的企业文化……我忽然想起这竟是免费给我升级的商务间！我直接怀疑我订了个假酒店。', '短评打分': 1}
{'短评内容': ' 호텔방은 깔끔하고 넓습니다. 단지 조식이 조금 약합니다. 추천합니다', '短评打分': 4}
{'短评内容': '服务好，周边环境好。', '短评打分': 5}
{'短评内容': '酒店不错，服务满意', '短评打分': 5}
{'短评内容': '酒店不错', '短评打分': 5}
{'短评内容': '호텔위치는 싱이 중심가에 위치하여 교통 편리하고 주변 관광지로 이동하기에도 매우 편리한 위치에 있슴 복무원들도 매우 친철하고 좋았슴', '短评打分': 5}
{'短评内容': '酒店在主干道上，交通方便，开车入住可以免费洗车，房间卫生还可以！', '短评打分': 3}
{'短评内容': '服务不错，房间很大，电视机也很大，床睡觉很舒服，早餐特别好吃，品种特别多，女儿特别喜欢！', '短评打分': 5}
{'短评内容': '早餐不错，服务也不错！', '短评打分': 3}
{'短评内容': '仅仅外出半小时到房间，服务员己悄无声息整理好房间，感觉很体贴！', '短评打分': 5}
{'短评内容': '空调坏的、房间没有饮用水、房间气味很大！', '短评打分': 3}
{'短评内容': 'check out时说我房间的烟被换包了，我都从来不抽烟，其实我都没注意还有烟，我从前台拿过来看是三种不同的烟，贵的标120便宜的才上面标20，我同他们讲理但没用，住期间我们挂免打扰，也讲了不要，但还是进去挽了床单。关于三种不同型号烟被换，大家懂的，一个不抽烟的人怎么能找到三种假烟去换？', '短评打分': 1}
{'短评内容': '1,非常贴心的酒店.入住即送迎客茶;\n2,酒店整洁,包早餐,品种丰富;\n3,服务超级一流,比许多住过的四星都好!', '短评打分': 5}
{'短评内容': '酒店可以4路马岭河，4路转1路可以到万峰林，房间条件一般，但是附加服务特别好，商务餐比较好，早餐较丰盛，晚上有水果，蛋糕，鲜花，预订时要求安静的房间也给安排了，服务意识很好。', '短评打分': 5}
{'短评内容': '下次去还会住，服务很好。。。。。。。。。', '短评打分': 5}
{'短评内容': '服务很好，房间很大！中午还有免费午餐，呵呵！晚上居然还收到酒店送的花和小吃水果，好感动', '短评打分': 5}
{'短评内容': '我是十月大假期间入住的。这个酒店位置在兴义的标志大道上，很好找，早餐丰富，十点钟到点了还能吃上，服务很周到，晚上有不知趣的隔壁房间客人，打开大门高声谈笑，给服务打电话马上就去制止了。真是有求必应，缺点是临街的一边汽车很吵，不过不是很让人受不了。', '短评打分': 5}
{'短评内容': '很好的一家连锁店，真的，无论那方面做的都好 11``````````````````````````````````````````````````````````````````````````````````', '短评打分': 5}
{'短评内容': '0总体上还可以，很体贴', '短评打分': 3}
{'短评内容': '不错！', '短评打分': 3}
{'短评内容': '这家酒店的服务还不错,服务员也比较有礼貌.可以推荐', '短评打分': 5}
{'短评内容': '还不错，方便、干净，以后还会住的………………。', '短评打分': 5}
{'短评内容': '服務非常好!!非常干淨!!非常滿意!!好好好好!!', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 3}
{'短评内容': '服务一流,但7楼的房间地板有损坏,其他还好.总的来说还是可以的', '短评打分': 3}
{'短评内容': '酒店环境不错，服务也比较周到，体验价还包括一顿正餐哦，上网是免费的，有一个比较大的停车场', '短评打分': 5}
{'短评内容': '酒店挺不错，服务卫生都挺到位，设施也齐全，出行也方便，值得推荐。', '短评打分': 5}
{'短评内容': '房间挺宽敞也挺干净的，设施也完善，住的挺舒适。', '短评打分': 5}
{'短评内容': '欧式的设计风格，服务质量很好，房间收拾也很干净，吃住行都很好，值得推荐。', '短评打分': 5}
{'短评内容': '位置挺好找的，周边交通挺便利的，服务卫生方面也很好，住的很满意。', '短评打分': 5}
{'短评内容': '卫生方面很好，每天都有人及时打扫房间，服务上也很周到细心，早餐也还可以。', '短评打分': 5}
{'短评内容': '房间打扫的很干净，设施也比较齐全，价格也不算贵，住的挺舒心的。', '短评打分': 5}
{'短评内容': '房间很干净，卫生间打扫的也不错，洗漱用品质量很好，用的很放心。', '短评打分': 5}
{'短评内容': '服务很热情，房间里很干净，住的很舒适，价格也不贵，这样的酒店值得推荐。', '短评打分': 5}
{'短评内容': '服务很好，有什么事情说一声，一会儿就给处理，办事效率很快，这点挺不错。', '短评打分': 5}
{'短评内容': '服务上很细心，很周到，生活用品准备的很齐全，感觉很不错。', '短评打分': 5}
