{'descr': '一般吧，没有电梯', 'star': 4}
{'descr': '还行', 'star': 5}
{'descr': '很不错，房间干净卫生，设施还可以', 'star': 5}
{'descr': '酒店隔音太差，几本上无法入睡。而且节假日还涨价，三百多的房间小到只放一张床的距离，很是后悔下次再也不来这家店。', 'star': 3}
{'descr': '很一般 卫生不好 没有一次性拖鞋 床硬 纸巾也差 感觉没怎么消毒 只能凑合睡觉 外面吃的还蛮多 最重要无电梯 要不是过节其他订不到 也不会来的', 'star': 3}
{'descr': '挺舒服', 'star': 4}
{'descr': '不是很满意 牙刷什么的质量很差', 'star': 3}
{'descr': '还不错', 'star': 5}
{'descr': '环境太差', 'star': 3}
{'descr': '设施很差，潮湿，噪音，体验很差劲！', 'star': 2}
{'descr': '登陆wifi貌似会被人盗号', 'star': 4}
{'descr': '声音较大，夜总会声音穿透进来咯', 'star': 3}
{'descr': '还行', 'star': 5}
{'descr': '一般太一般', 'star': 2}
{'descr': '凌晨一点入住的，十二点之前退房，哎，一家的店何必这么死板呢，不悦！', 'star': 3}
{'descr': '酒店不错哦酒店不错哦酒店不错哦酒店不错哦酒店不错哦', 'star': 5}
{'descr': '真的很差。。。。差到你无法想象。真不值得', 'star': 1}
{'descr': '房间较小~并且没窗户~很潮湿。不隔音啊~~~~~~~~~~~~~~~~~', 'star': 1}
{'descr': '内部设施条件很差，有些东西坏了也不维修，住了几天房卡一直不能用，很不方便，周围环境不好，服务一般、价格也不便宜。', 'star': 1}
