{'短评内容': '设施旧一点，但是比较方便', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还说的过去', '短评打分': 4}
{'短评内容': '都挺好，就是冬天没浴袍有点刺激', '短评打分': 5}
{'短评内容': '早餐还不错，不能加床，酒店位置繁华。停车场问前台。', '短评打分': 5}
{'短评内容': '不错，经常住。', '短评打分': 5}
{'短评内容': '京东的优惠卷很给力，便宜50，酒店位置很好', '短评打分': 5}
{'短评内容': '因为距离近，千选万选选择了这家酒店。结果入住之后，领导说，她房间味道很大，是卫生间那边的味道。早餐也不太好。除了门面，感觉都实在太一般了。', '短评打分': 4}
{'短评内容': '住了很多年，没的说，服务好，周围太便利，购物有沈阳天地、乐天百货，吃饭更多了，溜达溜达就到北站，强力推荐。', '短评打分': 5}
{'短评内容': '总体性价比高', '短评打分': 5}
{'短评内容': '环境不错，价格还可以，交通方便', '短评打分': 5}
{'短评内容': '不错，就是有点黑，屋里灯不够亮', '短评打分': 4}
{'短评内容': '酒店不错，挺干净的，交通方便', '短评打分': 5}
{'短评内容': '孩子每个周末不回家都会去这家酒店！有家的感觉', '短评打分': 5}
{'短评内容': '空调不热，冷死了，直接弄感冒了，空调解决了，下次还去住。', '短评打分': 4}
{'短评内容': '什么都挺好，就是太冷了，空调不热啊！！！', '短评打分': 4}
{'短评内容': '真心很一般', '短评打分': 2}
{'短评内容': '挺好的，就是大堂服务人员太冷淡', '短评打分': 5}
{'短评内容': '位置不错，距离沈阳北站走路也就15分钟。相对于这个价格房间算是比较大的，就是设施有点旧，有一天下午空调暖风坏了，房间电视有问题给换了一个，卫生间洗澡下水有点慢。服务还算可以，维修服务比较好，前台接待态度一般。', '短评打分': 4}
