{'短评内容': '超级好哦，环境好，房间好，满分', '短评打分': 5}
{'短评内容': '性价比高', '短评打分': 5}
{'短评内容': '房间很宽敞，去时不太好找，房东去接的。', '短评打分': 4}
{'短评内容': '位置很好，酒店也有情调', '短评打分': 5}
{'短评内容': '老板人很好很热心，房间也很干净整洁，厦门是个很美丽的城市', '短评打分': 5}
{'短评内容': '非常满意', '短评打分': 5}
{'短评内容': '房间很不错，卫生间超级大，老板特别好，最后一天还给我们找地方放行李，棒棒哒', '短评打分': 5}
{'短评内容': '真的很不错的入住体验!推荐!各方面设施都很好就是位置稍微有一点点偏...不过还是非常推荐的啊!大家都可以尝试去定', '短评打分': 5}
{'短评内容': '房间绝对够大！！！就是不是很好找！！', '短评打分': 5}
{'短评内容': '朋友推荐的这家，房间真心大，卫生间超级大。房间很干净，外面的客厅也很有特色，老板人很好，推荐。', '短评打分': 5}
{'短评内容': '朋友推荐的这家，房间真心大，卫生间超级大。房间很干净，外面的客厅也很有特色，老板人很好，推荐。', '短评打分': 5}
{'短评内容': '朋友推荐的这家，房间真心大，卫生间超级大。房间很干净，外面的客厅也很有特色，老板人很好，推荐。', '短评打分': 5}
{'短评内容': '朋友推荐的这家，房间真心大，卫生间超级大。房间很干净，外面的客厅也很有特色，老板人很好，推荐。', '短评打分': 5}
