{'短评内容': '房间设施齐全，有免费停车场，有免费早餐。周边出游，办事方便，离水果批发市场不远，买水果方便，附近美食也很多', '短评打分': 5}
{'短评内容': '在市区中心，去哪里都方便，酒店卫生不错，周围环境比较安静，设施齐全，用具有一点旧。也值这个价位，早餐有稀饭包子馒头。', '短评打分': 5}
{'短评内容': '', '短评打分': 2}
{'短评内容': '卧槽吹风机都是烂的。', '短评打分': 2}
{'短评内容': '早餐简单营养停车方便挺好', '短评打分': 5}
{'短评内容': '不错的酒店。', '短评打分': 5}
{'短评内容': '位置很方便，房间也干净，设施齐全，服务态度好，总之很满意', '短评打分': 5}
{'短评内容': '西昌凤凰大酒店曾经是公司的协议酒店，公司来客人都住在这里，我第一次住，感觉还挺好的，房间够大，卫生不错，地理位置优越，早晨品种少，也能吃饱。', '短评打分': 5}
{'短评内容': '干净卫生，环境一般，水温太难调。', '短评打分': 3}
{'短评内容': '干净卫生，停车方便，环境一般，水温太难调。', '短评打分': 4}
{'短评内容': '性价比好', '短评打分': 4}
{'短评内容': '整体还是不错，早餐建议提高些！', '短评打分': 5}
{'短评内容': '整体还是不错，早餐有待提高！', '短评打分': 5}
{'短评内容': '很好', '短评打分': 4}
{'短评内容': '很好，服务不错，环境很好', '短评打分': 3}
{'短评内容': '总的还不错，热水大、网速快、卫生好。就是房间小了点。', '短评打分': 5}
{'短评内容': '酒店楼下是个表演厅，天天晚上闹到很晚，据说还是凤凰酒店租出去的，说的是晚上十二点结束，结果都十二点半了还在唱，出来的人声音又大，没有一点钟就别想睡觉了，极力极力不不不不不推荐！愤怒！！！！！！！', '短评打分': 1}
{'短评内容': '根本不够三星标准，就是个招待所水平。 位置有点偏。 ', '短评打分': 1}
{'短评内容': '挺不错的，地处市中心，交通方便，住宿环境也好。', '短评打分': 5}
{'短评内容': '酒店设备很新，但是后面的停车场晚上太吵了，一旁歌城的人也把车停过来，很晚出来说话也很大声，严重印象休息！', '短评打分': 5}
{'短评内容': '還行', '短评打分': 3}
