{'短评内容': '靠近布达拉宫！隔音不好', '短评打分': 4}
{'短评内容': '隔音和地理位置不太好！其他Ok..', '短评打分': 4}
{'短评内容': '客栈的设施，环境，外观都挺不错的。三楼的阳台很棒，可以直接目睹布宫，夜景很赞', '短评打分': 5}
{'短评内容': '价格和环境都还不错', '短评打分': 5}
{'短评内容': '酒店位置很好', '短评打分': 5}
{'短评内容': '住宿的钱款已经付出了，但没有入住酒店，不知道酒店情况如何，希望将来有机会入住，体会一下酒店住宿条件。', '短评打分': 1}
{'短评内容': '客栈不错，老板人很好', '短评打分': 5}
{'短评内容': '确实不错', '短评打分': 5}
{'短评内容': '环境服务不错', '短评打分': 5}
{'短评内容': '在布达拉宫后面，走着穿过一个公园大约15分钟就可到正门，这个位置价格，还有独立卫生间，已经很好了，虽然设置有点旧，但是还是值得推荐的，尤其旁边不远处有个吞松藏餐，强烈推荐', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '很不错的小客栈。交通也很便利，小家的感觉。', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '挺好的小店，阳光不错，能看到布达拉宫', '短评打分': 3}
{'短评内容': '很不错的家庭式旅馆，非常热情，我的小房间都免费升级大房间了，有个小院很不错。', '短评打分': 5}
{'短评内容': '姐姐特好，老方便，老巴适了！赞一个！', '短评打分': 3}
{'短评内容': '挺温馨的客栈，老板人也很热情。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '院落和房间装饰都很有生活气息和藏家味道。院子里的花花草草很茂盛，阳光也总是很好，坐在院子里的藤椅上，床单被单飘荡，感觉不错的。\n不提供洗漱用品，出热水要放好久好久的冷水——到你终于忍不住要放弃的时候水就热了╮(╯_╰)╭。\n电视是有线的，频道较少，雪花较多。无线信号在院子里好，房间里有时会连不上。公共电脑配置不错，就是无线信号可能导致网速不稳定。\n有公共洗衣机免费使用，全自动的。边上也有洗衣服，这', '短评打分': 5}
{'短评内容': '环境好又安静，服务不错', '短评打分': 3}
{'短评内容': '房间虽小但挺好的，就是厕所有点味道，还好，老板人挺好', '短评打分': 3}
