{'短评内容': '位置不错，干净整洁', '短评打分': 5}
{'短评内容': '早餐可以自己煎鸡蛋手抓饼', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '房间在马路边，很小，马桶是坏的，适合胡乱睡一觉就走的那种旅客。', '短评打分': 3}
{'短评内容': '订的有双早餐！但是酒店没有早餐！', '短评打分': 4}
{'短评内容': '设施还可以 前台态度挺好的 开房前问我要临近马路还是要靠小区的房间 进房后电视有点问题前台马上派人修 还问我要不要换房间 一次很开心的住宿 我很满意', '短评打分': 5}
{'短评内容': '总体还行，考试用，能住就ok', '短评打分': 4}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '挺好的，离步行街好近，也不是很吵，步行街里面住太吵了，真的挺给力的', '短评打分': 5}
{'短评内容': '离市中心很近，不错', '短评打分': 4}
{'短评内容': '性价比高，地理位置好。', '短评打分': 4}
{'短评内容': '环境不错。挺干净的汉庭一直做的就很不错', '短评打分': 5}
{'短评内容': '服务好 环境好 设施好 卫生好', '短评打分': 5}
{'短评内容': '房间还可以,就是有点小.', '短评打分': 4}
{'短评内容': '真的不错，关键是性价比很高，很便宜，连锁酒店这个价格已经很满意了，下次过来还是会选择居住这个酒店的，非常好', '短评打分': 4}
