{'短评内容': '位置好，地下停车，感觉非常不错。附近 其他的设施 还不错啊                     ', '短评打分': 4}
{'短评内容': '房建很大也比较干净舒适', '短评打分': 5}
{'短评内容': '酒店环境不错，但是我晚上睡觉突然感觉高反严重，打了120，120问我在哪，但是我不清楚具体位置，让前台帮忙打120，前台不帮忙，说没法打！！！一个女的，我自己走下来的，问她为什么不帮忙，他竟然说，两个医院的120，她不知道打哪个！救命的事随便打哪个也是救命啊！！！出了事你负责？！真想上去抽她！', '短评打分': 4}
{'短评内容': '整体舒适，很干净', '短评打分': 5}
{'短评内容': '早餐单一，，。', '短评打分': 5}
{'短评内容': '酒店挺好的 干净 就是无线网都不能用', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '总体很好', '短评打分': 5}
{'短评内容': '设施和服务都不错。没空调，不过没多大影响，好评', '短评打分': 5}
{'短评内容': '酒店交通比较方便，环境也不错，可以', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '服务员非常好，很热情，颜值高！位置也很好，离大昭寺只有5分钟，房间环境超赞，居然是地暖！设施都很新，性价比极好！', '短评打分': 3}
