{'短评内容': '酒店比较干净，就以这个水准的酒店来说', '短评打分': 5}
{'短评内容': '酒店还算比较方便，不过环境有点吵，性价比总体来说不错。就是位置比较难找，不问路基本找不到，周边有施工。', '短评打分': 3}
{'短评内容': '出差订的，很方便，交通也很便捷。环境干净卫生，就是广交会期间价钱贵啊', '短评打分': 5}
{'短评内容': '酒店离中大很近', '短评打分': 5}
{'短评内容': '有停车场，', '短评打分': 4}
{'短评内容': '价格还可以，环境设施说的过去，', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '好好好', '短评打分': 5}
{'短评内容': '最垃圾的如家', '短评打分': 1}
{'短评内容': '在一个小区里，环境比较清净。但是里面的条件太一般，可能是开的时间比较长了，气味很重。开始订的时候看网上的说明是有窗，到了才发现是所谓的内窗，等于没有窗，刺鼻的霉味，没法住，只能换房间。最近住了两个城市的如家，都不太理想，感觉比前几年堕落得太厉害了。', '短评打分': 5}
{'短评内容': '房间装修较旧', '短评打分': 4}
{'短评内容': '不得不说这是最糟心的一次住宿，屋顶特别矮，晚上睡觉闷得要死，想打开窗户无奈又没有纱窗，广州那么多蚊子你们怎么就不舍得安个纱窗。更让我生气的是外面一夜的噪音。夜里两点多还有人放歌，真心不知道附近是什么店铺，夜里都不带睡觉的！', '短评打分': 1}
{'短评内容': '还好啦，快捷酒店就这样了', '短评打分': 4}
{'短评内容': '干净，安静', '短评打分': 5}
{'短评内容': '很好！', '短评打分': 5}
{'短评内容': '離地鐵站遠了點，整體還是不錯的', '短评打分': 4}
{'短评内容': '设施较陈旧，服务态度还行。', '短评打分': 4}
{'短评内容': '设施比较陈旧，服务态度还好。', '短评打分': 4}
{'短评内容': '居民区里 安静', '短评打分': 4}
{'短评内容': '位置有点偏，环境，卫生，和服务都还可以。', '短评打分': 4}
{'短评内容': '离中山大学很近，去看孩子很方便，酒店管理你也很不错', '短评打分': 5}
{'短评内容': '跟同事一起出去开会定的。离中山大学不算远，交通一般，离公交和地铁都有一定距离。酒店在院子里，不是很显眼。服务一般，有股难闻的气味', '短评打分': 4}
{'短评内容': '预订时候没说房间窗户只有0.2平米那么大，还有比较重的烟味，如果换房要加几十块就是二百出头的房价，觉得快捷这个价不划算，只好忍一晚了，停车过夜还要40块！！！', '短评打分': 4}
{'短评内容': '环境一般，不好找；硬件设施普通，服务还行\n但是还算安静', '短评打分': 4}
{'短评内容': '价钱便宜（广交会期间真心便宜啊），卫生，家的感觉。', '短评打分': 5}
{'短评内容': '麻雀虽小，五脏俱全。房间味道大了一点。找的时候花了一点点时间，幸好有车位停车。', '短评打分': 4}
{'短评内容': '麻雀虽小，五脏俱全。房间味道大了一点。找的时候花了一点点时间，幸好有车位停车。', '短评打分': 4}
{'短评内容': '房间较小，还算干净，广交会期间，价格高了。整体还行', '短评打分': 4}
{'短评内容': '房间较小，还算干净，广交会期间，价格高了。整体还行', '短评打分': 4}
{'短评内容': '房间较小，还算干净，广交会期间，价格高了', '短评打分': 4}
{'短评内容': '大床房,就是无窗,不过也就是睡几个小时,其他时间都在外面办事.因为看不到外面,一直睡得很香,接到电话才知道快九点了', '短评打分': 5}
{'短评内容': '就是没窗，憋得慌。', '短评打分': 4}
{'短评内容': '总体感觉还行，就是房间有点小，没有窗，但酒店服务挺好，而且有到展馆的专车，很方便，房间也很整洁，有网线和无线网络，上网很方便。', '短评打分': 4}
{'短评内容': '就是这种有个小窗户的房间，里面的布局一流，特别适合旅游，尤其是想看珠江夜景的朋友，交通也方便，离周围的景点一般都是起步价到20元之间，清静。', '短评打分': 5}
{'短评内容': '环境各个方面都很好哦，电视电脑都有，价格就200多，性价比高', '短评打分': 5}
{'短评内容': '卫生还不错，刚进房间的时候烟味很重。房间有点小', '短评打分': 5}
{'短评内容': '位置有点偏，停车位不够，酒店附近没什么吃的地方', '短评打分': 1}
{'短评内容': '服务很好，周围好吃的东西很多', '短评打分': 3}
{'短评内容': '房间内跟其他如家一样，干净，设施齐全，比较舒服。但是隔音效果太差，睡到半夜隔壁男女打架，摔东西的，哭闹的声音太可怕了！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '这家酒店非常好！就是位置稍微偏僻了一点！毗邻中大，环境很安逸！是个不错的选择，下次去还会选这家！就是前台服务人员态度有望提高，还有6楼的早餐不是很多还要15一位！', '短评打分': 5}
{'短评内容': '比较难找吧，但是附近很美，特别是中大北门，中大里面。', '短评打分': 5}
{'短评内容': '温馨如家般的感觉，物超所值，房间灯光很不错', '短评打分': 3}
{'短评内容': '真的很不错。服务态度也很好。价钱也很便宜。', '短评打分': 5}
{'短评内容': '找这个酒店花了点时间，然后找房间也是绕了很多圈，我觉得在电梯边就应该设个指示牌比较好哦，不然一出电梯就都是安全门，没个方向。房间布置还是不错的，刚进去有点味，开空调后就比较好了。总的来说，还算不错咧。', '短评打分': 5}
{'短评内容': '按地理位置和酒店设施来说是一个很值得住下的酒店。\n就是窗户是开的，而且是向走廊开，关不上。早上遇到不礼貌的其他客人大声一点就被吵醒。\n总体来说挺好的，以后还要再来。', '短评打分': 5}
{'短评内容': '为了参加琶洲的展会才订的酒店，就是为了便宜， 离琶洲也不远，卫生条件都还不错。', '短评打分': 5}
{'短评内容': '交通位置方便,服务态度还可以,价格也还好.', '短评打分': 5}
{'短评内容': '床大,就是隔音不好,其他挺好的', '短评打分': 3}
{'短评内容': '环境比附近的酒店都好，而且装修都很新，在同等价格来说是最好的，很满意，不过停车很麻烦，酒店只提供6个车位', '短评打分': 5}
{'短评内容': '辗转一整天终于到了！！不容易啊，离中大正面有点小远', '短评打分': 3}
{'短评内容': '消毒水气味太大啦啦啦，弄得我衣服上都有味道', '短评打分': 1}
{'短评内容': '房价便宜，是中大附近几间快捷酒店中价格最低的一家，但是地处居民区内，所以可能不太好找，但交通还算方便，走到珠江泳场公交站也就5分钟路程，房间条件还好，最大问题就是霉味比较大。', '短评打分': 5}
{'短评内容': '其他还好，就是床比较硬，还有消毒水气味很大', '短评打分': 5}
