{'短评内容': '嘎安静好吗！', '短评打分': 5}
{'短评内容': '又没有停车场', '短评打分': 5}
{'短评内容': '不会再去了，真坑', '短评打分': 5}
{'短评内容': '很好不错的宾馆。', '短评打分': 5}
{'短评内容': '挺不错的，卫生干净，下次来还住这里。', '短评打分': 5}
{'短评内容': '还可以吧', '短评打分': 5}
{'短评内容': '房间还可以，环境也可以', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '服务很好，好评', '短评打分': 4}
{'短评内容': '卫生很干净就是隔音不太好！', '短评打分': 5}
{'短评内容': '环境优美', '短评打分': 5}
{'短评内容': '一般般', '短评打分': 4}
{'短评内容': '还不错，性价比高', '短评打分': 4}
{'短评内容': '挺好的 每次都选择这里', '短评打分': 5}
{'短评内容': '很垃圾的酒店。先是没水，后来承诺说中午能解决，到了晚上也没解决。房间卫生也不好，床单很旧，不知道多久没换了，上面的图案都洗的快看出来了。最可气的是，结账的时候因为晚了10分钟，居然要多收半天房费。因为忘带房卡，让客房部开门，故意拖延给我们开门的时间，造成退房晚了那么一点点。明明是他们的工作人员低造成的，前台站了一群人，就是没有干活的，效率极低，更别提服务态度了。总之，这家酒店是我出差这么多次遇到的', '短评打分': 1}
{'短评内容': '说说总体感受：1、住了四晚上，有两晚上没有热水，其中还有一晚连水都没有，不舒服感可想而知。2、没水的那个晚上，向工作人员拿桶桶装水洗脸用，工作人员一脸的不愿意。3、我住这儿是为了考试的，结果考试那天早上连水都没有，洗脸都是在考试的学校洗的。4、住的六楼，水池的水还没有饮水机的大。5、惟一满意的是价格比较合适。总之，此次住宿非常不满意。', '短评打分': 1}
{'短评内容': '上一次入住反映热水不热，店家态度很好，这一次高高兴兴入住，吃东西时不小心在床单上弄上污渍，打扫卫生时，并没有给换，当问到打扫卫生的大姐时，她说，三天一换，到第三天就给换了，我去！床单脏都了不换，这是什么态度啊！再一看地上，掉在地上的瓜子都没扫走！这一次真的是失望了！', '短评打分': 5}
{'短评内容': '酒店环境、服务都挺好的，只是我住的房间临路，晚上静的时候可以听到路上的汽车声音。', '短评打分': 5}
{'短评内容': '还不错哦，大部分住课都是考雅思的', '短评打分': 3}
{'短评内容': '环境不错，服务诚恳。安静卫生，插座和网线有点小问题，没顺利上网。', '短评打分': 5}
{'短评内容': '先给个好评吧，被子和床单都有点潮，一到房间里客厅的灯跟闹鬼似的，忽忽的闪，完事就催了。给服务员要了两次浴巾都没有给送。别的还是比较干净整齐的', '短评打分': 5}
{'短评内容': '酒店极差！昨晚八点左右突然停电，抢修拖延滞后，让客人—直等到十一点半才来电。我住该店是为了参加今早在附近的医师考试。昨晚的事件严重地影响了我的复习和考试！酒店方面仅略调低房费了事。严重抗议！保留进一步申诉及法律解决的权利！此事件有同住该店的几十位宾客，亲历者证明！', '短评打分': 3}
{'短评内容': '环境一般，态度一般。', '短评打分': 3}
{'短评内容': '首先，位置不错，服务较热情。房间大且干净。不足：房间内有“空姐”，水不是想象中的那么热电视节目不全面，未能刷卡。不过，总体来说，物美价廉了。还是值得推荐', '短评打分': 5}
{'短评内容': '宾馆还可以；但需要发票的朋友最好提前确认，因为我想要发票，没有得到。', '短评打分': 5}
{'短评内容': '总体上讲算是一般了，因为周边还算比较便利，因此选择住在哪里。\n需要提高的地方：洗澡水不是很热，卫生间感觉很局促，床单不是太白，让人第一感觉不好，地面有沙子，至少也应该清扫下，希望以后多提高\n门口的便利店 东西比较贵 不建议去买', '短评打分': 5}
{'短评内容': '总体不错，应该备一个意见本啊，还有我住屋那桶水要过期了，会换吗，哈哈', '短评打分': 5}
{'短评内容': '很不错的酒店，下次还会去，只是热水器的水不太热！！', '短评打分': 5}
{'短评内容': '设施都很新，楼下就有一个便利超市，很方便。', '短评打分': 5}
{'短评内容': '地段蛮好的，后边是个小区，小区绿化很好，视野也很开阔，像是酒店的后花园，感觉太棒了，前台的一个大眼睛的美女态度很好，值得推荐', '短评打分': 5}
{'短评内容': '房间很干净，在快捷酒店中算不错的，前台四眼男服务员态度较差', '短评打分': 5}
{'短评内容': '地方略微有偏', '短评打分': 3}
{'短评内容': '应该是刚开业，环境不错，服务不错。下次有机会应该还会去！', '短评打分': 5}
{'短评内容': '还可以了，环境还行，就是位置有点偏…', '短评打分': 3}
