{'短评内容': '不错，不错', '短评打分': 5}
{'短评内容': '前台的服务也很热情，很喜欢，而且价格实惠，房间又大又安静，环境很好，比较干净卫生，Wifi很快，打游戏都没掉过线，太棒了，很满意得一家酒店，推荐大家入住，赞一个，会常来的', '短评打分': 5}
{'短评内容': '门锁坏，屋内用品外包装之前就有破损，也要赔付。', '短评打分': 4}
{'短评内容': '房间有蟑螂，房锁突然刷不开，等一趟电梯最少也要5分钟，上上下下几趟给房卡加磁，最后才知道房锁有问题，最后拿来钥匙开门。结账时屋里放的计生用品有破损也要让我上楼和保洁解释清楚，又得等电梯跑一趟。', '短评打分': 3}
{'短评内容': '不好下次不会在住了', '短评打分': 3}
{'短评内容': '外汇保证金交易。需要的请下方留言。', '短评打分': 5}
{'短评内容': '房间卫生极差，地面有垃圾，厕所有烟头、桌面有烟灰、衣柜有很厚一层灰尘、床头柜抽屉里有垃圾（被遗弃的底裤、食品袋等）。酒店前台在一个与别人合租的便利店里，另外就是还遇到一件令人作呕的事，在酒店前台退房时，外面路面的化粪池爆了，粪水满地都是，臭气熏天。而且价格贵，不包早餐，入住后相当后悔，以后就算赠送都不会再住了，极度差评！！！', '短评打分': 2}
{'短评内容': '挺不错', '短评打分': 5}
{'短评内容': '周边环境不错，酒店设施齐全', '短评打分': 5}
{'短评内容': '位置很不错，在万达广场。。。。。吃东西也很方便。。。。。各方便性价比还过得去。。。就房间卫生还需再加强点', '短评打分': 5}
{'短评内容': 'wifi就没连上 地上也很脏 床还比较干净 旁边就是万达也有很多公交车 不挑环境的可以选 就占个交通方便了', '短评打分': 3}
{'短评内容': '非常不错，酒店价格公道，服务也好！', '短评打分': 3}
{'短评内容': '挺好的，位置很中心，出行方便楼下很多吃的', '短评打分': 3}
{'短评内容': '就是洗澡的地方没有帘子，有点那个什么', '短评打分': 3}
{'短评内容': '墙壁开裂了 设施太旧了 住不舒服', '短评打分': 3}
{'短评内容': '楼层好，楼下万达，太方便了', '短评打分': 3}
{'短评内容': '居住条件还不错，购物方便，就是做公交，打的士有点布方便。', '短评打分': 5}
