{'descr': '非常不错，值得入住', 'star': 4}
{'descr': '1.房间价格真心的贵啊 多少?一个农家乐一个晚上480块钱，word 天啊。抢劫啊，更黑的还在后面。 2.房间的卫生，真他妈的臭啊，走进房间有一个股浓郁的下水道味道，阴风阵阵的飘来，让你晚上做梦都能梦到屎臭味。酒店房间靠着大街，压根没办法开窗，能把你吵死。好吗，只能选择臭。于是我临睡前烧了两壶热水灌下水道，纸巾堵住下水道。睡觉前似乎没味道了。睡到半夜吵醒起来上厕所，整个房间又臭了，真他妈的臭啊，第', 'star': 2}
{'descr': '1.房间价格真心的贵啊 多少?一个农家乐一个晚上480块钱，word 天啊。抢劫啊，更黑的还在后面。 2.房间的卫生，真他妈的臭啊，走进房间有一个股浓郁的下水道味道，阴风阵阵的飘来，让你晚上做梦都能梦到屎臭味。酒店房间靠着大街，压根没办法开窗，能把你吵死。好吗，只能选择臭。于是我临睡前烧了两壶热水灌下水道，纸巾堵住下水道。睡觉前似乎没味道了。睡到半夜吵醒起来上厕所，整个房间又臭了，真他妈的臭啊，第', 'star': 2}
{'descr': '1.房间价格真心的贵啊 多少?一个农家乐一个晚上480块钱，word 天啊。抢劫啊，更黑的还在后面。 2.房间的卫生，真他妈的臭啊，走进房间有一个股浓郁的下水道味道，阴风阵阵的飘来，让你晚上做梦都能梦到屎臭味。酒店房间靠着大街，压根没办法开窗，能把你吵死。好吗，只能选择臭。于是我临睡前烧了两壶热水灌下水道，纸巾堵住下水道。睡觉前似乎没味道了。睡到半夜吵醒起来上厕所，整个房间又臭了，真他妈的臭啊，第', 'star': 2}
{'descr': '入住感觉挺好的，离温泉不远，走路5分钟即到。酒店外观有点像农家乐，下面是餐饮，上面是房间，有三层，没有电梯，楼道一般，但房间装修很新，且感觉上较为高档 清爽，床也很舒服。对这个价格来说，真是比较超值的体验。', 'star': 5}
{'descr': '老板一家很热心。早饭的竹笋小菜太好吃了。靠景区和温泉都非常的近。吃过晚饭泡温泉11点才会来休息，走回来5分钟。', 'star': 5}
{'descr': '环境很好，值得入住，景区步行只要10分钟', 'star': 5}
{'descr': '套房有麻将桌哦，盆友出行必备设施', 'star': 5}
{'descr': '环境不错，服务好，卫生不错。嘿嘿', 'star': 5}
{'descr': '离景区很近，路上有很多吃的！酒店服务很好', 'star': 5}
{'descr': '位置离着景区还是比较近的，走走就到了，不用上去排队停车了', 'star': 5}
{'descr': '酒店不错，洗澡水很大很热，吃饭价格也还可以', 'star': 3}
{'descr': '酒店很干净，饭菜也可口，服务不错！就是没有宽带接口！', 'star': 5}
{'descr': '前台服务态度友好热情，周到。特别是039号服务员，性价比不错，下次继续光顾。', 'star': 5}
{'descr': '前台服务态度友好热情，周到。特别是039号服务员，性价比不错，下次继续光顾。', 'star': 5}
{'descr': '当天晚上定的，预订时间也快，服务态度不错，环境还不错，交通很方便啊，下次还去那里，', 'star': 5}
{'descr': '当天晚上定的，预订时间也快，服务态度不错，环境还不错，交通很方便啊，下次还去那里，', 'star': 5}
{'descr': '交通比较方便，房间采光好，卫生不错，暖气有点热。', 'star': 5}
{'descr': '交通比较方便，房间采光好，卫生不错，暖气有点热。', 'star': 5}
{'descr': '卫生一般，因为周边是铁路和街道晚上都不会很安静，其他都可以。', 'star': 3}
{'descr': '卫生一般，因为周边是铁路和街道晚上都不会很安静，其他都可以。', 'star': 3}
{'descr': '房间很小，卫生条件还好，设施稍微显得陈旧了一些，不过性价比上看还不错', 'star': 3}
