{'短评内容': '陈春凤服务很热情，酒店环境非常好，点个大大的赞！', '短评打分': 5}
{'短评内容': '酒店房间干净明亮服务态度非常好，退房时前台小杨和小刘还给送了苹果，前台有各种养生茶喝，昨天来的时候行李员也非常热情，不错的宾馆', '短评打分': 5}
{'短评内容': '很好的酒店', '短评打分': 5}
{'短评内容': '感谢前台华萍经理的热情接待，一路送我们到房间，消除了我们的陌生感；同时对客房管家鲍晶晶的贴心服务一并致谢。', '短评打分': 5}
{'短评内容': '酒店服务很棒，位置也挺好的，表扬一下卢明玲和周健，下次还会再来', '短评打分': 5}
{'短评内容': '帮朋友预订的，一行2间都很满意。泰州的老酒店的，服务的确一流。下次还推荐朋友入住。送的小礼物很有意义，很有特色，很有新意。', '短评打分': 5}
{'短评内容': '帮朋友预订的，朋友来电感谢，酒店入住满意，前台人员非常热情，房间有设计感，送了当地特产朋友很喜欢，带走留作纪念了，非常好的酒店。', '短评打分': 5}
{'短评内容': '住的非常好！卢明铃', '短评打分': 5}
{'短评内容': '我是一天天续房的，口口声声老客户，我没说退房，居然以房间不够的名义强硬让我退房了！借什么都没有，充电器也没有！这么大酒店居然没充电器，最后还是客房服务员借的私人的给我用了会', '短评打分': 4}
{'短评内容': '服务特别好，由于酒店健身房在装修，特意把我们免费换到春兰国宾馆，让我们可以使用健身房，还送了小礼品和牛奶，一次很好的入住体验。', '短评打分': 5}
{'短评内容': '我们老两口到泰州旅游冲着老街住宿该宾馆二天对宾馆内外环境、早餐很满意。第一天办理住宿还送了小点心，客房整洁卫生，人员素质很好。早餐券30元能吃饱不浪费，但从五星级宾馆衡量差距明显。另外，空调控制28度，二天晚上都热醒，建议管理要人性化。', '短评打分': 5}
{'短评内容': '环境还可以，马桶不行，空调制热不行，床还是蛮舒服的', '短评打分': 5}
{'短评内容': '物有所值，下次还会再来', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '前几年就住过，这次又一次入住，感觉非常好。首先酒店的服务很温馨，有宾至如归的感觉；其次，酒店硬件设施一流，并且卫生干净，下次还会选择这家宾馆。', '短评打分': 5}
{'短评内容': '房间一般，地段一般价格还行', '短评打分': 5}
{'短评内容': '酒店的服务非常周到，前台和后台都很好，北方人语言不通也能耐心讲解，酒店环境也很优雅，房间配套也不错，枕头有高有矮可自由选择，羽绒被的质量也很高，非常满意的一次出行', '短评打分': 5}
{'短评内容': '酒店的服务非常周到，前台和后台都很好，北方人语言不通也能耐心讲解，酒店环境也很优雅，房间配套也不错，枕头有高有矮可自由选择，羽绒被的质量也很高，非常满意的一次出行', '短评打分': 5}
{'短评内容': '首先前台和客房的服务都很周到，我们北方人语言不通也很耐心的讲解，酒店环境也很优雅，客房配套也很健全，非常满意', '短评打分': 5}
{'短评内容': '环境还不错，比较好找，离老街不远，春节这个价便宜', '短评打分': 5}
{'短评内容': '还不错。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
