{'短评内容': '酒店挺安静的 宽敞', '短评打分': 4}
{'短评内容': '空调很好用', '短评打分': 5}
{'短评内容': '很满意，很安静！', '短评打分': 5}
{'短评内容': '停车方便，洗澡舒服', '短评打分': 5}
{'短评内容': '酒店周围比较安静，有停车场，早餐一般，有点不爽的是床头没有插座，卫生上做的不是太仔细，卫生间里棉签放到起霉点都没换，床头柜灰尘太多，凳子上有长头发。', '短评打分': 4}
{'短评内容': '非常不错，环境很好、停车方便…下次还会选择…', '短评打分': 5}
{'短评内容': '不错的店，环境好，停车方便。下次还会选择', '短评打分': 5}
{'短评内容': '环境不错，订房的时候给错房间，很快就协调处理了。非常的积极，对应房价早餐还可以。周围环境好，安静，停车方便。', '短评打分': 5}
{'短评内容': '一如既往的好…', '短评打分': 5}
{'短评内容': '总体还不错在当地，比较安静。', '短评打分': 4}
{'短评内容': '房间很干净，环境不错，', '短评打分': 5}
{'短评内容': '酒店还是很不错也很安静，就是稍微偏远了点。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒店设施好，大堂很气派， 性价比很好', '短评打分': 5}
{'短评内容': '酒店卫生还算干净，环境清幽，价格也不贵，满意。', '短评打分': 5}
{'短评内容': '每次都住这', '短评打分': 5}
{'短评内容': '新酒店，非诚不错性价比高！地理位置有点偏', '短评打分': 5}
