{'短评内容': '方面确实很好，还赠了早餐，下次还会入住', '短评打分': 5}
{'短评内容': '给人预定 酒店服务还不错 就是住客闲杂 比较吵闹 感觉早餐很丰富 整体来说性价比很高', '短评打分': 5}
{'短评内容': '非常不错的经济型酒店。下一次还是要入住的。专门来到这里的每天都很好很方便非常非常喜欢赞一下这些服务态度', '短评打分': 5}
{'短评内容': '很不错很不错', '短评打分': 4}
{'短评内容': '很干净', '短评打分': 5}
{'短评内容': '交通方便，离古镇近', '短评打分': 4}
{'短评内容': '环境还不错，整体感觉还是比较舒服的。。附近吃的地方也很近。。步行都可以到达。。下次应该还会选择入住。。', '短评打分': 5}
{'短评内容': '第N次选择这里，因为交通方便而且环境也不错，性价比比较高。', '短评打分': 5}
{'短评内容': '设施不错，房间也算干净，周边交通方便。价格也比较合理。', '短评打分': 5}
{'短评内容': '非常好上的故事大概上的故事大概上的故事大概和十多个点三个上的故事大概十多个点三个十多个点三个是试过是公司大概', '短评打分': 5}
{'短评内容': '酒店，经济实惠，位置很好，值得推荐。不错！', '短评打分': 5}
{'短评内容': '很小，卫生不错，出行方便。', '短评打分': 5}
{'短评内容': '位置不错。', '短评打分': 4}
{'短评内容': '洗脸盆不会用', '短评打分': 4}
{'短评内容': '很干净，被褥毛巾很新。位置绝佳，周边有街逛，有吃的，地铁几条线都在附近，出行及其方便。下次作为上海的首选。', '短评打分': 5}
{'短评内容': '去了晚了，停车位多没有，单行道进出不是很方便', '短评打分': 5}
{'短评内容': '这次入住底楼就有点潮味，蚊子多了点其它还不错，毕竞这价格想想也不错了，要求也不要太高，不然住五星了。呵呵', '短评打分': 5}
{'短评内容': '酒店不错 很满意  下次还会住这里  酒店不错 很满意  下次还会住这里  酒店不错 很满意  下次还会住这里  酒店不错 很满意  下次还会住这里  酒店不错 很满意  下次还会住这里  酒店不错 很满意  下次还会住这里  酒店不错 很满意  下次还会住这里  ', '短评打分': 5}
{'短评内容': '差，，，，，，，，，，，，。。。。。。。。。。。', '短评打分': 1}
{'短评内容': '很好很不错的酒店，卫生，设施，等等都很好，性价比很高，很推荐大家入住，环境也不错，酒店服务也好，很满意的酒店。', '短评打分': 5}
{'短评内容': '不错，比较干净，就是有点挤。还有洗澡间的玻璃外面也看得见，不好。', '短评打分': 5}
{'短评内容': '不错。一直都住的这一家。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '不错。一直都住的这一家。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '不错。一直都住的这一家。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '相对来说 还算不错的酒店 比较安静 经济实惠 下次 还会再来的', '短评打分': 5}
{'短评内容': '己入住第三天，感觉很好，干净经济实恵，地段热闹，出门方便本人非常满意', '短评打分': 5}
{'短评内容': '地理位置不错，也挺干净，就是墙壁薄了点，门口塞的小卡片多了点', '短评打分': 5}
{'短评内容': '酒店大清早就开始装修，吵死了，给前台打了几个电话，但都是应付，本来打算再多住两天的，还是算了，另外去了一家如家，', '短评打分': 1}
{'短评内容': '价格蛮实惠的  就是卫生和服务员态度有点勉强  ', '短评打分': 5}
{'短评内容': '帮朋友预定的，听他们说这里的房间有点小，就是看上它交通方便了', '短评打分': 5}
{'短评内容': '很一般，设施老旧，帮朋友订的，据他回馈的信息很糟糕。', '短评打分': 1}
{'短评内容': '房间有点小', '短评打分': 3}
{'短评内容': '不错，出差在这一带都会定这间莫泰，呵呵', '短评打分': 3}
{'短评内容': '很好，交通方便！', '短评打分': 3}
{'短评内容': '服务态度差，房间小，设施差，很是垃圾…无语的一次订房', '短评打分': 5}
{'短评内容': '酒店装修现代，地理位置优越，出行方便，服务人员热情', '短评打分': 5}
{'短评内容': '房间还蛮干净的，跟周边的酒店比性价比还是高的，但卫生间那个透明玻璃个人觉得不好，半夜有人上厕所开灯，会影响别人睡觉。', '短评打分': 5}
{'短评内容': '地理位置不错,附近超市多,离徐家汇近,但步行去地铁站还是需要耐心的。可能酒店有点老,所以房间内装修要比住过的268差。印象最深的是出门右转不远有家地道的上海本帮菜餐厅,中高档的,味道不错。所以还是推荐吧。', '短评打分': 5}
{'短评内容': '房间小了点，电视老了点，但浴室玻璃透明度极高~网速飞快~好~', '短评打分': 5}
{'短评内容': '总体环境不错，交通还算便利，设施略有些陈旧，性价比还可以。', '短评打分': 5}
{'短评内容': '干净，整齐环境也不错！就是窗户没窗纱蚊子多的啊！！', '短评打分': 5}
{'短评内容': '酒店价格比较适中，房间空间稍小点，我第一住店房间空调不行，第二次房间有异味，其他的还过意得去。', '短评打分': 5}
{'短评内容': '还不错很干净，也实惠', '短评打分': 3}
{'短评内容': '酒店位置较佳！地铁4/7号线，徐家汇商圈，万人体育馆都在附近，步行即达~价格也相对适中。房间略显狭小，但是相对而言比较不错了！', '短评打分': 5}
{'短评内容': '房间挺好的，卫生不错，价钱也便宜，下次还会来住的！', '短评打分': 3}
