{'短评内容': '真的很好', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '还可以吧', '短评打分': 4}
{'短评内容': '蛮好的', '短评打分': 5}
{'短评内容': '帮同事预定价格优惠，周边配套齐全，下次一定会继续入住。', '短评打分': 4}
{'短评内容': '很好很好很好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '标双房间太狭小了，插头几乎没有，没发给手机充电', '短评打分': 3}
{'短评内容': '垃圾酒店，我明明用的携程下的单，酒店前台硬是说我是去哪儿下的单，导致我的反现申请失败。还有酒店房间一股怪味，还需要开窗透风，', '短评打分': 1}
{'短评内容': '感觉不好', '短评打分': 3}
{'短评内容': '除了房间的布局略微令人尴尬外（感觉情侣房的说啊），一切满意', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '还可以，床不知道为什么那么硬啊！感觉不爽！相对还比较舒服！也对得起这个价格！', '短评打分': 5}
{'短评内容': '地方比较偏，其他还好，卫生和室内装置还好', '短评打分': 1}
{'短评内容': '环境还可以，装修比较新，交通有点不方便，的士都没有，呵呵。', '短评打分': 5}
{'短评内容': '房间装修比较新，性价比高', '短评打分': 3}
{'短评内容': '地理位置好，坐车方便，清洁卫生好。早餐好。', '短评打分': 5}
{'短评内容': '不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错', '短评打分': 5}
{'短评内容': '房間不錯，算寬敞舒適。樓下毛家灣湘菜館也不錯吃，但周圍似乎沒其他生活機能。', '短评打分': 5}
{'短评内容': '酒店简洁舒适，就是隔音不好。楼下有家湘菜馆，可惜当晚办喜酒，无法品尝，有点失望。', '短评打分': 5}
{'短评内容': '不错，很优惠', '短评打分': 3}
{'短评内容': '隔音不好', '短评打分': 3}
{'短评内容': '房间不错很干净，就是隔音不太还，外面在施工很吵，还有就是没有早餐，吃早饭不太方便', '短评打分': 5}
{'短评内容': '不错啦~~环境设施都不错啊~~~最主要是房间卫生好啊~~~~~', '短评打分': 5}
{'短评内容': '装修格局不错，就是床硬点。我住的套房不错，2个电视，2个空调，浴室也很大，开舒服。', '短评打分': 5}
{'短评内容': '总体很好,卫生,安静;\n欠缺的是没有早餐供应;\n建议价格适当再低些.', '短评打分': 5}
{'短评内容': '客房蛮大的而且卫生条件也不错，就是楼顶的机器太吵了，建议不要住太高', '短评打分': 5}
{'短评内容': '还算整洁，干静。设施还不错，就床板太硬。', '短评打分': 3}
{'短评内容': '性价比很高，但是没早餐，吃饭不方便。。。。。。。', '短评打分': 5}
{'短评内容': '周边环境不错，房间干净，但是装修一般，没有刷卡，要几间房带不足现金就麻烦。。', '短评打分': 5}
{'短评内容': '给我感觉有些像小旅馆一样，不过客房蛮大的而且卫生条件也不错，服务人员也很周到热情，就是不提供餐饮.', '短评打分': 5}
{'短评内容': '位置有点偏 去珠海看的航展 环境性价比较高', '短评打分': 5}
{'短评内容': '是新酒店！还不错！就是地方偏了点！在红旗镇！', '短评打分': 3}
{'短评内容': '就是离市区远了点！！其他还行！！！！！！！！', '短评打分': 5}
{'短评内容': '酒店很新，有点装修味道，门框很脆弱，冷气不太够力。。', '短评打分': 3}
{'短评内容': '不错！', '短评打分': 5}
{'短评内容': '环境新、舒服。', '短评打分': 5}
{'短评内容': '谢谢', '短评打分': 5}
