{'短评内容': '离站台很近，很方便', '短评打分': 5}
{'短评内容': '装修不好 地板都是坏的 屋子还有味道 根本不是速8酒店 连枕头都不行  我之所以给三个星 是因为工作人员态度不错  希望老板好好改进', '短评打分': 3}
{'短评内容': '这。。刚进门口就有好多人在大厅， 问了说是做市场调查的 怪吓人。 住的情侣房 红色太深感觉很压抑 而且墙壁很脏 外加网速极慢 房间内没移动的没什么信号..  其他还好吧', '短评打分': 1}
{'短评内容': '环境和服务都还不错，就是卫生间淋浴是坏掉的，也没有修好，勉强是可以用。空调会漏水。其它都还好。性价比不错。', '短评打分': 3}
{'短评内容': '前台不能刷卡，看了网友的评论看来不是新问题了，房间墙壁有些脏，确实只有一条毛巾，最难以忍受的是过浓的劣质空气清洗剂，闻着要中毒了，不过最让人意外的是房间的床…………不多说了，去体验下就知道了', '短评打分': 5}
{'短评内容': '榻榻米房无窗户，房间很小，地板很旧，没有照片上那样的感觉~~', '短评打分': 1}
{'短评内容': '店里挺温馨的，墙壁上也有好看的画，东西也很不错', '短评打分': 3}
{'短评内容': '相比之下还是可以的，就是房间太封闭了！给人感觉有点压抑，而且过道内很吵！', '短评打分': 5}
{'短评内容': '想玩黄鹤楼，长江大桥，户部巷，司门口，辛亥革命几连冠的朋友就完全可以住这里，价格便宜，房间舒适又干净···', '短评打分': 5}
{'短评内容': '房间很温馨，还送水果和报纸，酒店交通也很便利，也很适合来武汉旅游的游客', '短评打分': 3}
{'短评内容': '房价很便宜，房型有多种选择，一个人的话就选榻榻米房，床很大，挺新颖的。情侣就住情侣房，装修很漂亮，适合年轻人。', '短评打分': 3}
{'短评内容': '情侣房很不错，环境好，就是更名之后不送早餐了', '短评打分': 3}
{'短评内容': '交通很方便 很近黄鹤楼    不过我们去的时候才临时通知说国庆涨价了  之前真的没有收到通知   148一个情侣房  不知道是老板坑我还是怎样   房间真的不怎样  不透气  前几天住的房间感觉有点臭臭的 不怎么干净   后来说换一间住又要加钱  换了一间勉强还可以  反正就是交通方便   但是我觉得环境不怎么样   那地方挺好找的 旁边有KFC和永和  这点很好 ', '短评打分': 5}
{'短评内容': '没有想象的好，卫生条件不是太好，地理位置差不多。', '短评打分': 1}
{'短评内容': '一般般', '短评打分': 3}
{'短评内容': '＋感觉还好、里面很有感觉的、就是那个洗澡的喷头貌似有点坏、希望修下、总体感觉不错！', '短评打分': 3}
{'短评内容': '酒店很不错~ 装修的很可爱温馨。我和老公定的是电脑房，网速很快。下次来还住这个。..............................................................................', '短评打分': 5}
