{'短评内容': '白天没有热水！', '短评打分': 5}
{'短评内容': '暖气不热！白天没有热水！', '短评打分': 4}
{'短评内容': '还行！就是热水不太方便', '短评打分': 5}
{'短评内容': '还行！就是热水不太方便！', '短评打分': 5}
{'短评内容': '服务大姐太牛，让自己换床单，设备老旧，晚上旁边工地施工，睡不好', '短评打分': 3}
{'短评内容': '说是特价房，房间设施差，卫生也一般，Wi-Fi也没有还要和其它房间共享。', '短评打分': 3}
{'短评内容': '觉得房间设施有些陈旧了', '短评打分': 3}
{'短评内容': '酒店开业时间较长，设备陈旧，服务有待提升。', '短评打分': 3}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '朋友介绍来的，好评', '短评打分': 5}
{'短评内容': '还可以吧 将就着陪同目的', '短评打分': 3}
{'短评内容': '卫生间洗澡有点不爽，其他还行', '短评打分': 4}
{'短评内容': '整体环境一般，设施比较陈旧，服务一般。', '短评打分': 4}
{'短评内容': '很好，很干净，服务也好', '短评打分': 3}
{'短评内容': '老酒店了，设施比较旧！停车场还要单独收费！服务员不太好找！派头倒是有的！', '短评打分': 3}
{'短评内容': '感觉还不错，挺舒适的。以后有去还会选择这家的。。。', '短评打分': 5}
{'短评内容': '地量位置尚好，酒店装修极差，卫生很差。建议不予选择！', '短评打分': 1}
{'短评内容': '朝南的房间采光很好，卫生也不错，基本设施都有，住的还是挺舒适的。', '短评打分': 5}
{'短评内容': '这的服务态度很好，早餐是中式的，口味还好，房间挺干净，床挺大挺舒适的。', '短评打分': 5}
{'短评内容': '位置蛮好，出行挺方便。房间挺干净，有的还配备了电脑，网速也不错，用着很方便。', '短评打分': 5}
{'短评内容': '酒店还不错，挺显档次，服务卫生很到位，房间住的也挺舒适，值得推荐。', '短评打分': 5}
{'短评内容': '前台很好，热气周到，有礼貌，房间宽敞明亮，硬件设施齐全，餐饮不错，菜的种类很口味很好，住宿环境很满意', '短评打分': 5}
{'短评内容': '前台接待态度很好，有什么事情她们都可以很负责任的帮助我们，房间卫生很好，没有卫生死角，打扫的很干净，餐饮不错，种类很多，吃的很随意', '短评打分': 5}
{'短评内容': '住宿环境很好，房间卫生条件很好，打扫的很干净，前台服务周到热情，房间装修的很漂亮，周边环境也不错，舒适度很好', '短评打分': 5}
