{'短评内容': '样样都很好', '短评打分': 5}
{'短评内容': '不错的地方', '短评打分': 5}
{'短评内容': '挺好，就是凝聚在啊里京都讨论组随心所欲玉女无忧自己做哦鸡鸭鱼肉偶遇我哦热血物语喽跳楼自杀无MS蜜语有么', '短评打分': 5}
{'短评内容': '很适合度假，很安静。', '短评打分': 5}
{'短评内容': '早餐一般，晚上山上居然有唱k的，很吵，酒店也不管，不可加床，但适合亲子游，位置好找，停车方住，不好就是办预授权要3至5天才能解除，别的酒店都不会这样。', '短评打分': 4}
{'短评内容': '这个酒店不错，挺高档的，厕所还是干湿分离的', '短评打分': 5}
{'短评内容': '没有宣传的那么好', '短评打分': 4}
{'短评内容': '这次是第二次入住了！感觉真的蛮不错的！！要来廉江一定来订这间酒店决对不会失望！！超好的！下次我在来，我还是一样会订这间酒店！', '短评打分': 5}
{'短评内容': '不错哦哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈', '短评打分': 5}
{'短评内容': '其实我觉得', '短评打分': 5}
{'短评内容': '性价比高，房间略旧，早餐不错； 推荐；酒店后方有公园 可爬山 挺不错 每次来廉江 都是住这', '短评打分': 4}
{'短评内容': '办公室一群同事一起住别墅房，感觉好温馨，设施齐全，早上自助早餐挺丰富', '短评打分': 5}
{'短评内容': '酒店后面的塘山岭生态公园设施已修好，早上的自助早餐挺丰富。', '短评打分': 5}
{'短评内容': '特别棒，超值！', '短评打分': 5}
{'短评内容': '酒店是四星级度假村，当地最好的酒店，里面集休闲娱乐吃饭kTv于一体的度假村，度假村后面是一个公园，当地人早晨都在公园里锻练，酒店房间很大，有五十平米左右，中央空调，中央热水，大床或双床，从窗户可以看到后面的山和公园，酒店也提供餐饮服务，菜式有中餐和西餐，早餐是自助的，品种也很多。总之宴请招待和旅游住宿很不错。  到当地旅游的朋友可以选择在这家下榻。', '短评打分': 5}
{'短评内容': '酒店是四星级度假村，当地最好的酒店，里面集休闲娱乐吃饭kTv于一体的度假村，度假村后面是一个公园，当地人早晨都在公园里锻练，酒店房间很大，有五十平米左右，中央空调，中央热水，大床或双床，从窗户可以看到后面的山和公园，酒店也提供餐饮服务，菜式有中餐和西餐，早餐是自助的，品种也很多。总之宴请招待和旅游住宿很不错。  就是酒店前台服务员的办事速度还要提高。    ', '短评打分': 5}
{'短评内容': '环境不错，房间比较旧。', '短评打分': 3}
{'短评内容': '酒店很大，很安静，服务很好，房间也很干净，价格便宜。值得推荐。', '短评打分': 5}
