{'短评内容': '距离江苏路地铁站得步行15分钟，楼下的小吃店很多，道路幽静，房间率小。优点是能开窗通风，适合长时间出差居住，价格低廉', '短评打分': 4}
{'短评内容': '干净卫生 设施齐全', '短评打分': 5}
{'短评内容': '刚装修，有点味。。', '短评打分': 5}
{'短评内容': '酒店环境不错，干净，晚上很安静', '短评打分': 5}
{'短评内容': '酒店位置离地铁站比较近，出行方便', '短评打分': 5}
{'短评内容': '离地铁站很远，走了很长时间，一直都是打电话问怎么走，服务员倒是很热情！', '短评打分': 5}
{'短评内容': '酒店房间便旧，设备也旧，地段很好', '短评打分': 4}
{'短评内容': '这个新酒店不错！', '短评打分': 5}
{'短评内容': '酒店还算干净。淋浴有点小吧。压力不够大', '短评打分': 4}
{'短评内容': '可以住住了', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '房间很小。性价比不算高。', '短评打分': 3}
{'短评内容': '隔音效果一般般', '短评打分': 5}
{'短评内容': '房间很干净 交通不太便利', '短评打分': 5}
{'短评内容': '九点环境一般，但是位置还行吧，挺实惠', '短评打分': 5}
{'短评内容': '还行，！ 便宜', '短评打分': 4}
