{'短评内容': '陈珊服务好', '短评打分': 5}
{'短评内容': '陈珊服务好，早餐好吃', '短评打分': 5}
{'短评内容': '邱咏梅服务好，早餐好吃，', '短评打分': 5}
{'短评内容': '酒店设施齐全前台刘微接待热情', '短评打分': 5}
{'短评内容': '一直很好，前台刘微服务很好', '短评打分': 5}
{'短评内容': '酒店位置好，设施齐全，前台刘微接待热情', '短评打分': 5}
{'短评内容': '酒店设施好前台王肖肖服务好', '短评打分': 5}
{'短评内容': '前台刘微美女服务超棒，入住满意。', '短评打分': 5}
{'短评内容': '好好。 还不错。', '短评打分': 5}
{'短评内容': '君亭酒店都不错，这家稍微老了一点，不过瑕不掩瑜，性价比很好！', '短评打分': 5}
{'短评内容': '无线网信号太差太差', '短评打分': 3}
{'短评内容': '环境优雅，位置方便，值得推荐。', '短评打分': 4}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '需要更新了', '短评打分': 4}
{'短评内容': '住过几次还好', '短评打分': 4}
{'短评内容': '住了几次还好', '短评打分': 4}
{'短评内容': '住了几次还好', '短评打分': 4}
{'短评内容': '因不同房型拆分了3张酒店订单，请将此订单与另外两张同酒店同时间的一共3张发票一起配送。不要每张发票都另收我一比运费', '短评打分': 4}
{'短评内容': '在轻纺城附近，到那里办事住的很方便。房间挺好，还有空气清新器', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '中规中矩的酒店，没啥特别的', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '每次去都住这家,比较方便。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': ' 酒店位置處於輕紡市場旁邊 白天周邊環境比較複雜 晚上還好 設施設備偏東南亞風格 早飯較一般 其餘都不錯', '短评打分': 3}
{'短评内容': '位于轻纺城中心地带，房间可以鸟瞰大运河和古纤道，是一所不错的高档商务酒店。\n停车场小，周围交通拥挤。', '短评打分': 5}
{'短评内容': '交通方便，装修挺现代，服务也很好，每次柯桥出差首选入住酒店。', '短评打分': 5}
{'短评内容': '房间很干净，设计感觉很好，每次去绍兴都喜欢住在这里，服务也很周到。', '短评打分': 5}
{'短评内容': '太好了，酒店不仅交通便利，而且环境、服务都是一流的，价格也非常实在。下次来绍兴柯桥的话，还会入住。强烈推荐！\n值得一提的是，位于酒店3楼（好像是3楼）的粤式餐厅，口味很地道，价格也很平易近人，推荐尝试！', '短评打分': 5}
{'短评内容': '房间内宽带不给力，服务还算亲切~~~~但杭州的君庭比起来，硬件差了些', '短评打分': 5}
{'短评内容': '房间挺大，装潢挺好，对得起这个价格，只是早餐有待提高！', '短评打分': 5}
{'短评内容': '房间比较大，但服务很差，早餐也差。', '短评打分': 3}
{'短评内容': '柯桥君庭很不错，服务员还送免费水果，房间设计和空间都还行，就是卫生间淋浴房的门设计的不好，水会溅出来！三楼餐厅是西湖春天，很不错。', '短评打分': 3}
{'短评内容': '很不错的酒店，和客户一起住的，他们也很满意', '短评打分': 5}
{'短评内容': '位于柯桥面料市场的中心地带, 酒店房间的设施还可以, 但是酒店的房间送餐的食物不敢恭维,又油又咸,盐和油貌似不要钱的.', '短评打分': 5}
{'短评内容': '酒店还不错服务态度很好', '短评打分': 3}
