{'短评内容': '在汽车西站旁，去西溪湿地公园挺方便的', '短评打分': 5}
{'短评内容': '我这个是不包早的，酒店比较旧，电梯维修没法用，门口在施工，有噪音，酒店有一股潮湿的味道，感觉一般般……', '短评打分': 4}
{'短评内容': '杭州汽车客运西站，交通方便', '短评打分': 4}
{'短评内容': '下面一个图，差不差，自明。这个样的宾馆197元，无早餐，气味大', '短评打分': 1}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '离汽车站近，方便，好评', '短评打分': 4}
{'短评内容': '定了，没有住进去，因为不是中国国籍，不能入住，跟京东协调后，同意退款，解决的速度挺快，比较满意京东的服务，以后还会选择京东。', '短评打分': 5}
{'短评内容': '房间很不错，客服也很好，很满意', '短评打分': 5}
{'短评内容': '很好，干净，很方便', '短评打分': 5}
{'短评内容': '性价比还不错', '短评打分': 3}
{'短评内容': '旁边就是汽车站，出远门方便。', '短评打分': 3}
{'短评内容': '整洁干净，好', '短评打分': 5}
{'短评内容': '还可以，，，，，，，，，，，，', '短评打分': 5}
{'短评内容': '环境不错，价位也不贵，方便坐车', '短评打分': 5}
{'短评内容': '出来玩还是比较看中服务态度 这点确实也做的不错 房间卫生也做的很好 果断好评', '短评打分': 5}
{'短评内容': '我想说好 确实不错                    丨  这里就是好', '短评打分': 5}
{'短评内容': '还行，交通也方便！', '短评打分': 4}
{'短评内容': '酒店环境可以，价钱太贵。', '短评打分': 4}
{'短评内容': '位置非常好，在西站就能看到如家，直接走过去也就5分钟，服务也很好，妈妈说里面布置温馨尤其还不潮，毛巾也是，隔音稍微有点不好，但没关系，晚上很安静~~', '短评打分': 5}
{'短评内容': '我们住了4天，原本是特惠大床的，却让我入住了商务大床，不错，设施设备齐全。以后出门还是住如家！', '短评打分': 5}
{'短评内容': '很好.就在汽车站边,很干净,距离西溪湿地很近,距离灵隐寺打车十多块钱,距西湖打车二十多块钱', '短评打分': 3}
{'短评内容': '方便，，离西站特近，，紧挨着，，，，，，，，，，，，，，，，，，，', '短评打分': 5}
{'短评内容': '蛮好。很干净，很舒服。很实惠。已经在此酒店多次住宿，感觉很好。', '短评打分': 3}
{'短评内容': '还不错~ 这家如家各个方面都不错\n\n就是淋雨的排水有点慢\n', '短评打分': 5}
{'短评内容': '非常好~非常好~非常好~非常好~非常好~非常好~非常好~非常好~非常好~非常好~非常好~非常好~非常好~非常好~', '短评打分': 5}
{'短评内容': '和老公一起住很温馨，干净整齐服务挺好的，就是特惠大床房窗户外是走廊。整体推荐！', '短评打分': 3}
{'短评内容': '房间数量很多，但是每个房间面积太小，住着不舒服，特别是特惠大床房，窗户连着走廊，非常吵，隔音效果不好，有些房间有吹风机，有些房间没有的，这点不是很到位。被单还算干净。', '短评打分': 5}
{'短评内容': '隔音有点差,隔壁电视机声音很大,有点影响睡眠', '短评打分': 5}
{'短评内容': ' 位置很方便,就在汽车站旁边,旅行很方便,服务态度也很好,', '短评打分': 3}
{'短评内容': '住的家庭房，很大，过道都很宽，看上去还蛮简洁干净。总之，很满意。', '短评打分': 5}
{'短评内容': '位置不错，要去西溪湿地的话很近的，附近只能去西客站打车，但是杭州的的哥。。。，去附近的就不要指望了\n住的是特惠大床房，房间内的不错，不过窗户临近走廊，晚上会有点吵', '短评打分': 5}
{'短评内容': '酒店紧挨着汽车西站，去千岛湖乘长途汽车很方便。到酒店时已没有大床房，前台免费升级到了商务房，赞一个。房间隔音效果较差。', '短评打分': 3}
{'短评内容': '家庭房很不错，大而干净，也很贴心的安排了远离汽车站的一侧，没有前面评论的那么吵，去千岛湖的推荐这家宾馆，可以睡到自然醒再出发。', '短评打分': 5}
{'短评内容': '环境很好', '短评打分': 3}
{'短评内容': '如果一定要我评价这个酒店，那就三个字，脏，乱，差！第一，房间地面都是渣渣，被子也黑的。二，车站附近治安不好，流动人口大，三，洗澡喷头水很小，还时冷湿热，这有驳如家的特色哦！总之不推荐', '短评打分': 1}
{'短评内容': '选择这家酒店式因为就在杭州汽车西站隔离，第二天一早就可到西站买票顺利搭上去千岛湖的班车了，在酒店房间可以看到西溪湿地，天不是太亮的时候发现湿地里边一层层地被雾气缭绕，很美，而且早上有很多鸟儿在叫，很大自然的感觉。酒店房间也很舒适很干净！', '短评打分': 5}
{'短评内容': '选择该酒店主要是方便第2天从长途车到千岛湖，酒店房间是很小，总体说就是快捷酒店那个水平，谈不上好，谈不上坏', '短评打分': 5}
{'短评内容': '地理位置方便，离西站非常近，几乎是正面与侧面的关系，早餐15元/人，小贵', '短评打分': 5}
{'短评内容': '房间很干净，主要是地理位置非常好，与长途汽车西站超级近，出门拐弯就到了，路程2-3分钟，并且离西溪湿地公园也非常近，一站地左右。如果不熟悉这家店的位置，打车或问路时一定要说“长途汽车西站西溪湿地店”否则会被拉到汽车西站点，不是一家，距离两站地。', '短评打分': 5}
{'短评内容': '很一般了，只是没有选择的地方，汽车西站最近的酒店只有这一家了。', '短评打分': 5}
{'短评内容': '距离西溪湿地很近，就在汽车西站边上，交通方便，但是同时也有点吵。', '短评打分': 3}
{'短评内容': '我住的是标准间，房间好大，设施只能说一般！', '短评打分': 5}
{'短评内容': '总的来说还是不错的，但是就性价比而言，价格还是高了，之前在上塘路住的如家比这个便宜，房间也大很多，这次住在西站附近，房间较小，床也是一米五的，两个人稍稍小了点，卫生环境还是不错，窗户是打不开的，有些闷', '短评打分': 5}
{'短评内容': '一出西客站就到了，很近很方便，对于出差的人，很好，真是如家。', '短评打分': 5}
{'短评内容': '内部管理有序，登记要求遵章！卫生状况也可以，价格合理，有物有所值的感觉，值得推荐！', '短评打分': 5}
{'短评内容': '距离杭州市西站非常近，适合赶车的朋友。房间非常小，但很干净，我订的房间是不含早餐的，早餐15元一位，样式，味道都一般。前台可以免费寄存行李三天，过三天后收费。总体感觉还是不错的。推荐。', '短评打分': 5}
{'短评内容': '出入方便，离西溪湿地公园很近，但大床房房间太小，标准间还不错', '短评打分': 5}
{'短评内容': '房间新安装电吹风.不错的', '短评打分': 3}
{'短评内容': '干净整洁 一如既往的好  希望再接再厉  将如家做到更好', '短评打分': 5}
{'短评内容': '很好的，位置方便，周边很热闹，我是就在地铁站边上，服务很好，最主要的是卫生状况很好', '短评打分': 5}
{'短评内容': '就在汽车西站边上，走路就几分钟，蛮方便的', '短评打分': 3}
{'短评内容': '还不错,主要是西站边上就这一家酒店,赶车的话,住这里是最好的选择.', '短评打分': 5}
{'短评内容': '这家酒店位置很好，紧挨着杭州汽车西站。酒店设施也不错。虽然有点小贵，但因为比邻西溪和汽车西站，还算方便。', '短评打分': 5}
{'短评内容': '房间格局我很喜欢，很干净，服务也很好。。', '短评打分': 5}
