{'短评内容': '环境优雅非常不错', '短评打分': 5}
{'短评内容': '没有早餐 环境还可以', '短评打分': 5}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '还算不错哦！', '短评打分': 5}
{'短评内容': '非常不错，', '短评打分': 5}
{'短评内容': '环境一般，没有窗户，空气不好', '短评打分': 3}
{'短评内容': '偶尔还是可以住的，没啥说的。', '短评打分': 3}
{'短评内容': '房间还可以，但临近马路，噪音严重。', '短评打分': 3}
{'短评内容': '比较经济实惠。快捷酒店，干净就行。', '短评打分': 3}
{'短评内容': '位置还好，房间也还行，整体感觉还不错哦！', '短评打分': 3}
{'短评内容': '还行吧，感觉还是不错的。。。。。。！！！', '短评打分': 3}
{'短评内容': '房间不错，位置也好，感觉很棒', '短评打分': 3}
{'短评内容': '干净卫生，交通方便，服务热情。物超所值。但房门的防闯环坏了，马桶水箱盖烂了，有隐患。', '短评打分': 4}
{'短评内容': '干净卫生，交通方便，服务热情。物超所值。但房门的防闯环坏了，马桶水箱盖烂了，有隐患。', '短评打分': 4}
{'短评内容': '房间干净，交通方便，服务热情。物超所值，赞一个。不过，房门防闯环坏了，马桶水箱盖烂了，有隐患。', '短评打分': 4}
{'短评内容': '还不错，网络有点慢。', '短评打分': 3}
{'短评内容': '还不错，网络有点慢。', '短评打分': 3}
{'短评内容': ' 我4月23日入住这间酒店，可以说是非常糟糕的一次经历。另外我也对ELONG不讲诚信失望透顶，我原本订的另外一家酒店，付款后ELONG告诉我没有房间，推荐我到这家宾馆，价格228元，ELONG会补齐差价，我欣然接受。下车后发现此宾馆距离火车站打车15元，房间紧靠马路，窗子下面吵得要死。房间又脏得要死。后来我问酒店的人发现一般入住全都是118元，我通过ELONG居然是228元。这是非常恶劣的欺骗。只', '短评打分': 1}
{'短评内容': ' 我4月23日入住这间酒店，可以说是非常糟糕的一次经历。另外我也对ELONG不讲诚信失望透顶，我原本订的另外一家酒店，付款后ELONG告诉我没有房间，推荐我到这家宾馆，价格228元，ELONG会补齐差价，我欣然接受。下车后发现此宾馆距离火车站打车15元，房间紧靠马路，窗子下面吵得要死。房间又脏得要死。后来我问酒店的人发现一般入住全都是118元，我通过ELONG居然是228元。这是非常恶劣的欺骗。只', '短评打分': 1}
{'短评内容': ' 酒店床单被子不白而且铺的皱皱巴巴的。总感觉不卫生。老式电视机。不值一百一十八，七八十差不多。', '短评打分': 3}
{'短评内容': ' 酒店床单被子不白而且铺的皱皱巴巴的。总感觉不卫生。老式电视机。不值一百一十八，七八十差不多。', '短评打分': 3}
{'短评内容': '住宿条件一般，有点气味，不安静，没有吹风机，早餐不是自助，分量少，总体不是很满意', '短评打分': 1}
{'短评内容': '住宿条件一般，有点气味，不安静，没有吹风机，早餐不是自助，分量少，总体不是很满意', '短评打分': 1}
{'短评内容': '房间还可以，位置有点偏僻，整体感觉还不错', '短评打分': 5}
{'短评内容': '房间还可以，位置有点偏僻，整体感觉还不错', '短评打分': 5}
{'短评内容': '还行吧，一分钱一分货，如果有电脑那就好了，酒店里味道有点重', '短评打分': 5}
{'短评内容': '还行吧，一分钱一分货，如果有电脑那就好了，酒店里味道有点重', '短评打分': 5}
