{'短评内容': '酒店环境，卫生都很好，早餐也很丰富。', '短评打分': 5}
{'短评内容': '空调都不开，很不爽', '短评打分': 3}
{'短评内容': '早餐过了八点半就没了 ，其他的还好', '短评打分': 4}
{'短评内容': '酒店用品收费，不太习惯。地下停车空间较小，一辆挨一辆，难以出行。电冰箱一直在工作，浪费电不说还影响休息。感觉酒店的管理理念有问题。', '短评打分': 4}
{'短评内容': '太一般了，洗漱用品都是自费', '短评打分': 3}
{'短评内容': '怎么去掉那课心啊？是强制性的要给一颗心吗？半颗心都不想给！差得要死。都不敢相信京东了。价格贵得离谱，还三百多！房间稀烂，比几十块钱的旅社还不如！！！有臭味不说，地上还有虫子！是感觉最最最差的一次！前台和保安态度极差。订了房间说没停车位，让停路边或退房。要不是在网上预订不能退，我是真心后悔！', '短评打分': 1}
{'短评内容': '房间干净整洁，前台服务好。', '短评打分': 5}
{'短评内容': '整体还可以,配套服务无法与五星级对应,只能算三星级服务', '短评打分': 4}
{'短评内容': '就是无线网络信号太差', '短评打分': 4}
{'短评内容': '房间还可以。离景区走过去五分钟还行吧', '短评打分': 5}
{'短评内容': '凑合住吧', '短评打分': 3}
{'短评内容': '环境一般，噪音太大，早餐不行，没多少选择，餐厅有一股怪味，空气不流通。', '短评打分': 3}
{'短评内容': '环境 位置不错', '短评打分': 5}
{'短评内容': '还环境 位置不错', '短评打分': 5}
{'短评内容': '卫生较差！小地方的格局！', '短评打分': 3}
{'短评内容': '很吵，几乎一晚上没睡，浴巾还有几根头发不知道有没有更换，感觉不好', '短评打分': 2}
{'短评内容': '设备及环境各方面都还可以，就是早餐太差劲了，没有及时更新补充食物，而且都是凉的，很容易影响出门旅游效率。', '短评打分': 4}
{'短评内容': '酒店环境一般，卫生还可以，房间有点小', '短评打分': 4}
{'短评内容': '有点嘈杂，晚上', '短评打分': 5}
{'短评内容': '位置还算可以，离汽车站和古城都近，步行近十分钟。去入住的时候，只有一个前台，等了十多分钟，结帐的时候就很快了。设施比较齐全，服务态度还算可以。', '短评打分': 5}
{'短评内容': '下午五點入住鳳凰錦繡國際酒店，前台安排給我們的是未打掃的房間，要求換一間卻不肯，感覺很差…', '短评打分': 3}
{'短评内容': '不错,环境可以,卫生干净', '短评打分': 3}
{'短评内容': '入住的豪华套房，条件极差，号称4星级的宾馆，房间里面设备简陋，气味难闻。第二天早晨去要早餐券的时候，居然说是CHECK IN的时候给过了，我说我为了一顿早餐能骗你？前台一副按理不理的样子。一气之下直接CHECK OUT，结果还不给开发票，说发票机坏了，争执一番，给了我一张发票，仔细一看，发票的开票方是什么锦绣饭店，收费项目是餐费，加盖的发票章却是锦绣国际大酒店。\n总而言之，这个酒店硬件和软件都是一', '短评打分': 1}
