{'短评内容': '没有', '短评打分': 5}
{'短评内容': '距离火车站只有100米不到，环境安静，酒店没早餐，房间设施陈旧，赶在国庆节房价高啊', '短评打分': 4}
{'短评内容': '房间卫生特别一般，如果不是节假日肯定是不回在这里入驻的………………………………………………………………', '短评打分': 1}
{'短评内容': '房间很不错，离火车站特别近，卫生也很好，距离繁华的地方也很近。反正给我的感觉就是中卫的酒店都好便宜哦', '短评打分': 5}
{'短评内容': '虽然给了好评，但不得不吐槽……酒店前台服务差，携程明明写了免查房的，之前在扬州也住过免查房的酒店，退房直接把房卡给前台就可以走，我以为这边也是这样，给了房卡要走，前台女的就说要查房，让我们别走，我就随口说了一句不是写了免查房吗……结果人家到好，怼了我好几句，大清早找了一肚子火；再说设施，这真的是我住过最恶的酒店，没有之一，楼道里灯光黯淡，找房间都成问题，要一个人真有点害怕，进了门，就被卫生间的裸体', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '位置很好，就在火车站边上。', '短评打分': 5}
{'短评内容': '离火车站近。房间一般性。', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '中式点心或食品还可以，西式的口感不好。另外，开夜床服务不够到位，无论双标房里是一个客人，或是两个客人住，最好都能开两张床，且开床前最好再次打扫一下房间的卫生，这样会给人贴心的感觉 ', '短评打分': 5}
{'短评内容': '还行吧', '短评打分': 5}
{'短评内容': '整体不错，停车位太少', '短评打分': 4}
{'短评内容': '出中卫火车站右手边就是，交通方便。', '短评打分': 4}
{'短评内容': '服务可以，性价比高', '短评打分': 4}
{'短评内容': '还好，挺方便的！', '短评打分': 5}
{'短评内容': '不错，挺好的，住着舒服！加油！', '短评打分': 5}
