{'短评内容': '卫生干净，值得入住', '短评打分': 5}
{'短评内容': '早餐一般，环境服务可以', '短评打分': 5}
{'短评内容': '帮同事预定，酒店地理位置不错，周边吃饭的地方很多。但是房间条件一般，晚上很吵。早餐品种不多，没啥好吃的，只有牛肉面不错。', '短评打分': 4}
{'短评内容': '帮同事预定，酒店地理位置不错，周边吃饭的地方很多。但是房间条件一般，晚上很吵。早餐品种不多，没啥好吃的，只有牛肉面不错。', '短评打分': 4}
{'短评内容': '酒店地理位置不错，周边吃饭的地方很多。但是房间条件一般，晚上很吵。早餐品种不多，没啥好吃的，只有牛肉面不错。', '短评打分': 4}
{'短评内容': '酒店不错～服务也很好～', '短评打分': 5}
{'短评内容': '床还是比较软，停车不是很方便', '短评打分': 5}
{'短评内容': '房间还是不错，住了一晚上', '短评打分': 5}
{'短评内容': '好！挺好的！下次还来。', '短评打分': 5}
{'短评内容': '酒店布局不好', '短评打分': 4}
{'短评内容': '酒店布局不好', '短评打分': 4}
{'短评内容': '酒店布局不好', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '还可以就是早餐一般，另外酒店的服务也不是很及时，叫个前台都很难', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 2}
{'短评内容': '蛮温馨的房间，清洁卫生。走十分钟就是美食街，推荐美食爱好者入住。', '短评打分': 5}
{'短评内容': '服务很好，环境很好，缺点是卫生不行。很遗憾。', '短评打分': 4}
{'短评内容': '环境还可以，就是房间不成型，斜的，淋浴房太小了，转不开身。', '短评打分': 4}
{'短评内容': '房子大，床也超大，非常干净，早上懒得起床，服务员还能把早餐送来。\r\n唯一的缺点是电视太小，而且貌似不是机顶盒的，信号比较一般。', '短评打分': 5}
{'短评内容': '位置不错离步行街很近，房屋很干净，总之不错。。。。', '短评打分': 5}
{'短评内容': '住着比快捷酒店会舒服。地理位置比较好，紧邻歩行街，可以步行黄河岸边，喝三炮台。', '短评打分': 5}
{'短评内容': '停车非常不方便！根本没有停车场，礼品也没有给送！', '短评打分': 1}
{'短评内容': '酒店位置不错，离步行街很近，房间有点小，经济型酒店的设施，中间还停了电，价格偏贵了', '短评打分': 3}
{'短评内容': '位置不错,午餐和晚餐时间太短,希望有所改进', '短评打分': 5}
{'短评内容': '除了不是两点退房，其它都不错,新装修的还是有股味', '短评打分': 5}
{'短评内容': '网速像蜗牛，竟然无法收发邮件（无法链接服务器）\n下午４点就洗衣服务就停止了，最后一天洗的一条裤子拿回家一看竟然更脏（上面竟然有很多油）\n再也不会来这里住了，也不知道前面那么多好评从哪里来的！', '短评打分': 1}
{'短评内容': '酒店软硬件都比较满意。早餐拉面也不错，自费再加些牛肉那味道就更好。', '短评打分': 5}
