{'短评内容': '非常暖和，但是房间有异味', '短评打分': 5}
{'短评内容': '房间不错，有个吹风机就好了！', '短评打分': 5}
{'短评内容': '这么说呢 房间有小 而且好多设施比较破旧', '短评打分': 4}
{'短评内容': '没有早餐，适合出差旅游居住，位置离地铁站超近！交通方便，来京出差的', '短评打分': 5}
{'短评内容': '还不错123', '短评打分': 5}
{'短评内容': '好，住的很舒服，下次还来住', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '房间挺大的，价格合适，推荐', '短评打分': 5}
{'短评内容': '服务好，开了一间感觉对面房客人噪音大，前台马上给调换了安静房价，感谢。', '短评打分': 4}
{'短评内容': '隔音不太好，空调不太管用', '短评打分': 2}
{'短评内容': '不怎么样，，', '短评打分': 3}
{'短评内容': '服务员很热情，卫生还可以，就是热水器的水不热', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 3}
{'短评内容': '地方很方便离高铁站很近，房间很舒服价格很实惠值得推荐。', '短评打分': 3}
{'短评内容': '还可以，不错的也算是', '短评打分': 3}
{'短评内容': '还可以就是环境不也魔王', '短评打分': 3}
