{'短评内容': '位于市中心外围，停车方便，附近比较安静', '短评打分': 5}
{'短评内容': '服务态度好，自助早餐，有停车场，值', '短评打分': 5}
{'短评内容': '还行一般！', '短评打分': 4}
{'短评内容': '房间很一般，卫生不干净', '短评打分': 1}
{'短评内容': '挺好的，安静整齐', '短评打分': 5}
{'短评内容': '给了两个很小的房间，有个房一进门一股烟味，和之前住过的比起来要差一些。东西还算干净，这个价格确实比之前的便宜，一分钱一分货吧', '短评打分': 4}
{'短评内容': '忘了评价了，在这里住丨了好几天，环境还行！下次还会来的', '短评打分': 5}
{'短评内容': '忘了评价了，在这里住丨了好几天，环境还行！', '短评打分': 5}
{'短评内容': '还行吧，网络不错。', '短评打分': 5}
{'短评内容': '便宜实惠，总体还行', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒店位于高校附近区域，便于商务活动；位于非主干道上，车辆少利于睡眠；房间台式电脑很方便商务活动；房间卫生状况很好，很舒心；房间的床铺感觉过于软了些，不利于腰椎不好的顾客休息；没有备用的棉被，满足不了顾客的需求。', '短评打分': 5}
{'短评内容': '平时才一百多一晚，假期到店也才二百多。但携程上居然要三百多，最过份的是买份了取消保险还完全没用。。等待了几个小时都还没有答复。总之对携程很不满意。  至于酒店本身是没有任何问题的。它的价格跟他的服务及设施各方面都比较批配。位置也比较好找，离市中心也不远。就是周围的环境一般般。早餐虽然味道一般，但也还是能吃饱。总体就它本身价位来说，酒店还是可以的。  以后真是不愿意再从携程来订房间了。比到店价还贵2', '短评打分': 3}
{'短评内容': '没想到国庆期间贺州的房价三级跳，因为同行的姐姐一家需要双人房间，贺州很多酒店双人房都满房，400一晚的房价的确有点贵，和酒店的档次不匹配。第二晚想转到另外城市但由于已经预订两晚只能继续住下去。早餐还可以吃得饱，要不是这个价格问题其他一切都很好', '短评打分': 4}
{'短评内容': '还行。没有想象的糟糕。但是没有传说中的干衣机', '短评打分': 3}
{'短评内容': '很好的酒店，环境很安静，很舒服，值得推荐。', '短评打分': 5}
{'短评内容': '比想象中要好，山寨城市便捷，到还有不小进步空间。', '短评打分': 3}
{'短评内容': '不错不错  不错不错啊哈', '短评打分': 3}
{'短评内容': '离办事地点近，有需要会再住的', '短评打分': 3}
