{'短评内容': '很不错…', '短评打分': 3}
{'短评内容': '酒店服务挺好的，有空房间的话可以提前入住，上午9点就登记入住了。三个双床电脑房，在6楼。有二个房间门不是很好用，估记是海边潮湿所至。房间里面还是不错的。晚上去海边玩方便，大概5分钟吧。这个地角，140的价格，物有所值吧。', '短评打分': 5}
{'短评内容': '地理位置不错，酒店的大堂总是有饭菜的香味不太好。房间还可以，老三星的，这次入住的前堂接待爱理不理的，像个被小三夺走老公的熊样，不太好。', '短评打分': 5}
{'短评内容': ' 推荐一下，文豪很干净，设施也很齐全，还挺温馨的呢～', '短评打分': 3}
{'短评内容': '房间标准，交通方便。价格合理。缺点：在马路边比较吵。', '短评打分': 5}
{'短评内容': '来第四次了！', '短评打分': 3}
{'短评内容': '有点旧，别的还好！', '短评打分': 3}
{'短评内容': '前台呀，敢不敢脸再长点？', '短评打分': 3}
{'短评内容': '停好的,比过真觉得挺好.', '短评打分': 3}
{'短评内容': '首先，地理位置很不错，公交车很方便，17路到世贸广场那站下，对面就是酒店了。就卫生方面来看，也还是不错，被褥虽然不是很新，但是还算是比较干净，卫生间也还不错，就是毛巾不是纯白的，是蓝色的，稍微有点味道，感觉不是很干净，建议换成白色的。住宿的舒适度上来讲，还是不错的，空调很给力，房间也很安静，本来只预定了一晚，但是住的感觉挺不错的，于是第二晚也住这了呢！推荐', '短评打分': 5}
{'短评内容': '酒店地理位置很好 装修很高档 跟一般的连锁酒店不是一个档次 完全是按照星级酒店的标准装修的 就是热水 实在是太不给力了 希望能改进', '短评打分': 5}
{'短评内容': '1.酒店系新闻出版署和山东新闻出版社出资建设的酒店，政府背景\n2.本日与12月14-17日入住三天\n不足：\n1.偌大的酒店，晚上值班服务人员只有一人，服务不及时。\n2.楼层没有电话，若房门打不开只能坐电梯到前台，然后在上楼，浪费时间\n3.本人入住503，其中有个窗户关不上，晚上风呼呼的，\n4.晚上值班服务人员居然不会使用数字电视，致使本人连电视也没得看\n5.前台服务人员，态度一班，根本就没有见过微', '短评打分': 1}
{'短评内容': '酒店很马虎，房间还可以，餐厅服务很差。', '短评打分': 3}
{'短评内容': '是挂牌三星没错，就是酒店非常潮湿、设施陈旧不说，卫生条件很差。基本谈不上有酒店服务。住了一晚，没睡着！', '短评打分': 1}
{'短评内容': '房间和设施都一般，方便的是：房间内有电脑，适用于每天离不开电脑的人士，而且距离第一海水浴场比较近，旁边的锅贴店也很好吃，还有一家裕豪海鲜不错，饭后还可以一览张裕葡萄酒博物馆。可以推荐。', '短评打分': 5}
{'短评内容': '我们总共开了3个房间，大家的感觉都算比较满意，不错的说！', '短评打分': 5}
{'短评内容': '该酒店总体是不错的，位置极佳，附近有海鲜城，餐馆都很好，值得推荐。', '短评打分': 5}
{'短评内容': '房间挺宽敞的,有饮水机很方便.周边有海滨景区,烟台山公园,张裕博物馆,都能走到,很近.', '短评打分': 3}
{'短评内容': '我们三人住的是三人间，设三张单人床，整洁安静，满意。地点很好，出门方便，离海滨近。饭店内有餐厅，价格适中，味道也不错，以后还会选择此饭店。', '短评打分': 5}
{'短评内容': '  房间太小 卫生一般   位置较好', '短评打分': 3}
{'短评内容': '位置很好，房间大而亮', '短评打分': 3}
{'短评内容': '交通位置很好，距离市里很近。但是停车场地有限。内部装饰我比较喜欢，属于是传统中式风格的三星级酒店。', '短评打分': 5}
{'短评内容': '房间卫生条件不错，床单，被罩每天都会更换，清洗，感觉很干净卫生，价格适中，酒店距离海边较近，出行方便', '短评打分': 5}
{'短评内容': '酒店离海边蛮近的，环境很好很安静，这里吃海鲜很方便，服务周到热情，性价比蛮高的', '短评打分': 5}
{'短评内容': '总体感觉很不错的酒店，房间硬件齐全，服务很到位，主要是价格经济实惠，住宿环境很好', '短评打分': 5}
{'短评内容': '酒店位置特比好，离我们工作的地方很近，出差就是为了方便嘛，周边交通很好，出行不成问题，下次还会考虑这里的', '短评打分': 5}
{'短评内容': '周围环境蛮不错的，距离海边挺近的，走个10多分钟就到了，房间价格比较经济实惠，卫生条件很好，住着很放心', '短评打分': 5}
{'短评内容': '服务很一般，房间整理的还可以，卫生不错，比较干净，总体感觉还行，交通到是很方便，每天都会按时打扫房间，舒适度不错', '短评打分': 3}
{'短评内容': '老酒店，设施很陈旧，位置较便利，离海边很近。', '短评打分': 5}
{'短评内容': '房间不太大，但是价格比较合适，设施很齐全，并且都挺好用的，酒店内部干净整洁，卫生很好，房间舒适度很不错', '短评打分': 5}
{'短评内容': '感觉很一般的酒店，房间硬件设施完善，就是有些陈旧，酒店位置不错，距离海滨走路10分钟左右，很方便，其他都很一般', '短评打分': 3}
