{'短评内容': '住过2回了，商务出差，离办事的地方很近。', '短评打分': 5}
{'短评内容': '非常好，交通方便', '短评打分': 5}
{'短评内容': '交通便利，环境可以。', '短评打分': 5}
{'短评内容': '早餐丰富很不错', '短评打分': 5}
{'短评内容': '客户说挺好的', '短评打分': 5}
{'短评内容': '很普通，感觉这个价钱有点贵', '短评打分': 5}
{'短评内容': '东西全服务好，重要的是谁的挺舒服的', '短评打分': 5}
{'短评内容': '很满意的一次酒店京东订购体验', '短评打分': 5}
{'短评内容': '服务不怎么样', '短评打分': 3}
{'短评内容': '房间的气味比较大，应该是外国人住的比较多，留下的气味，酒店床铺没有清洁干净！', '短评打分': 4}
{'短评内容': '很好的酒店，干净卫生，以后还会来入住，很开心有这样一段旅行，感谢酒店服务人员，继续努力，以后还会选择这里', '短评打分': 5}
{'短评内容': '酒店房间小，卫生间淋浴器都是坏的', '短评打分': 3}
{'短评内容': '脏乱差，效率低，没有免费瓶装水，酒店里的一小瓶居然9块钱，最差的一次体验，不会再来！', '短评打分': 1}
{'短评内容': '酒店安保工作做的很好，房间真的小，早餐能吃饱', '短评打分': 4}
{'短评内容': 'good location the room is not big', '短评打分': 3}
{'短评内容': '好环境', '短评打分': 5}
{'短评内容': '酒店地段非常好，安保也不错。唯一不足的是专门要的SPA房，没想到房里的浴缸需要花一个小时装水，然后十五分钟水就漏光了', '短评打分': 4}
{'短评内容': '广交会期间没房住，条件很差', '短评打分': 3}
