{'短评内容': '环境舒适，早餐丰富，服务好。', '短评打分': 5}
{'短评内容': '很安静，窗外就是黄河，景色不错。', '短评打分': 4}
{'短评内容': '是真的差，第一次安排的房间都没有打扫，酒店不像高端酒店，完全不如以前了！设施老化，卫生差，配套设施更不上！隔音也差', '短评打分': 1}
{'短评内容': '房间有味，黑乎乎的', '短评打分': 3}
{'短评内容': '距离黄河母亲雕塑，水车很近。过马路就是黄河边。房间挺大，落地窗可以看见黄河，很喜欢。周边也安静。吃牛肉面也很方便。', '短评打分': 5}
{'短评内容': '早餐不错。 ', '短评打分': 5}
{'短评内容': '其他都可以，就是隔音不好。', '短评打分': 5}
{'短评内容': '携程酒店预订工作人员业务太差，但是态度比较好', '短评打分': 5}
{'短评内容': '城市环境太差', '短评打分': 3}
{'短评内容': '还不错，环境跟价格不相符，价格太高', '短评打分': 5}
{'短评内容': '大床房有两种，位置还可以就在河边，停车场太小', '短评打分': 4}
{'短评内容': '不错，出门不错的选择', '短评打分': 4}
{'短评内容': '总体还可以', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '还不错，服务非常好，而且确实酒店是温泉水', '短评打分': 5}
{'短评内容': '这间在A楼，豪单，尚好，基本上对得起那个价格，夜景很美。', '短评打分': 4}
{'短评内容': '服务周到，环境不错，就是价格略微高了点儿，我的意思是对于会员来说！！', '短评打分': 5}
{'短评内容': '房间比上次入住的好，很大，装修的很舒适，下次还会入住', '短评打分': 5}
{'短评内容': '很好很喜欢...位置好...直接去兰州军总了', '短评打分': 5}
{'短评内容': '酒店还行，价格太高！房间设施不全！！下次考虑一下。', '短评打分': 5}
{'短评内容': '酒店设施陈旧，早餐较差！但房间比较大，以后不会住。\n\n', '短评打分': 1}
{'短评内容': '酒店前台服务非常好，房间安排得也很满意，晚上睡觉很安静，值得推荐。', '短评打分': 5}
{'短评内容': ' 酒店很好，离兰州军总好近，，，而且还有温泉。。。服务人员也不错。。。就是每次网上预定只能保留到下午四点，这次暑期还要信用卡担保，这方面能不能改进下。。。看来酒店生意很好啊。。', '短评打分': 5}
{'短评内容': '酒店设施不是很好，但房间比较大，以后不会住。', '短评打分': 1}
{'短评内容': '我是7月份住过几天该酒店，当时觉得服务态度还好，这次服务态度很差，而且冬天了豪标里面的被子和床一点也不像四星标准，被子很差很差舒服，总之以后不会再住它了。', '短评打分': 1}
{'短评内容': '房间总体算马虎，不足有二，早餐很差，八楼房间要上九楼才可以到达', '短评打分': 5}
{'短评内容': '酒店房间不错，设施也可以，还有温泉泡，至于是不是取自地下2001米就另当别论了', '短评打分': 5}
{'短评内容': '屋子太闷，没有窗户，不透气，房间一会冷一会热。', '短评打分': 5}
{'短评内容': '因为没有窗户的原因，刚进去觉得闷热，晚上睡觉时又觉得冷，而且抽风机的声音特别大！很不舒服！', '短评打分': 1}
{'短评内容': '房间比较大', '短评打分': 3}
{'短评内容': '1、没有停车场，车要停在马路边不太好。\r\n2、湘菜味道不错，结账已转到酒店总台，比较方便。', '短评打分': 5}
{'短评内容': '酒店房间够大 ,设施陈旧 ,卫生差 ,停车住紧张', '短评打分': 5}
{'短评内容': '甘肃天源温泉大酒店房间很大，就是内饰较旧', '短评打分': 5}
{'短评内容': '设施非常好，舒适温馨。', '短评打分': 5}
{'短评内容': '早餐差点', '短评打分': 5}
{'短评内容': '酒店的配置硬件设施都还一般，卫生服务也很达标。温泉还是比较不错的，房间条件比较一般，还是可以推荐入住的。', '短评打分': 5}
{'短评内容': '公务住宿性价比还算较好，对喜欢温泉的旅客比较方便。周围有省中医院、陆军总院等，业务联系便捷。', '短评打分': 5}
{'短评内容': '因为有温泉感觉蛮好的，就是设施相对陈旧些，早餐不错种类挺多，口味也不错，房间里卫生很好，整体来说很值得推荐。', '短评打分': 5}
{'短评内容': '位置是就近我办事的地方找的.除了位置外其它各方面都挺一般的.房间小而且隔音效果也差.我觉得酒店不太好.', '短评打分': 1}
{'短评内容': '位置是就近我办事的地方找的.除了位置外其它各方面都挺一般的.房间小而且隔音效果也差.我觉得酒店不太好.', '短评打分': 1}
{'短评内容': '该酒店是兰州唯一的温泉入室的酒店，公务居住舒适、方便，位置略偏，性价比好。', '短评打分': 5}
{'短评内容': '原来是一间很不错的酒店，但房间增多以后明显不如原来了：后面的工地太吵，有的房间没有窗户但是订房间时有不说明，新装修的房间不但很难找而且隔音效果不好，要不是离办事的地方近早都不住了。唯一值得留恋的就是早餐还行，酒店有一个湘菜馆，味道不错。', '短评打分': 1}
{'短评内容': '酒店性价比较高，适合商务旅行，温泉也哟哟特色。', '短评打分': 5}
{'短评内容': '原来单人豪华间有台式电脑，现在居然没有了，淋浴漏的满卫生间都是水', '短评打分': 1}
{'短评内容': ' 性价比比较差。在该区属于高价，房价设施较差。', '短评打分': 1}
{'短评内容': '这个酒店太旧了，交通也很不方便，叫车都叫不到，服务环境也很一般。', '短评打分': 1}
{'短评内容': '朋友弄脏了床单，竟然罚了300元', '短评打分': 1}
{'短评内容': '刚开始在网上看到,地理位置比较偏,没想到兰州不大,地段也就无所谓了，该酒店在黄河边上,不远就是大水车,和黄河母亲园,打车到黄河索道也就是起步价7元,当然去市中心打车要10元左右.大概就5公里左右吧,温泉是酒店的特色,但我住的房间没有木桶,郁闷!!!去酒店的温泉泡,凭房卡5折优惠,房间比较小,设施一般,电视小,但东西还是比较新的,酒店卫生间既然比房间大,搞不懂.晚上9点去餐厅吃饭,服务员既然说厨师下', '短评打分': 3}
