{'短评内容': '清洁', '短评打分': 3}
{'短评内容': '酒店所处地段很安静！适合复习备考！好评！', '短评打分': 5}
{'短评内容': '过年自驾回家,歇脚西安.途中在G5高速1563KM处遇车祸堵车2个小时,到西安环宇宾馆刚好二十点整.宾馆距离西安绕城高速不远,交通方便.院内可露天停车.三人间客房设施一般,卫生可以,电源插座只有一个可用,店内无接线板可借用.早餐非常差,就不点评了.', '短评打分': 5}
{'短评内容': '在这个价位上，没什么好挑剔的，还可以。\n那段时间西安园艺会，很多新酒店出来，我住了6个以上的宾馆，一定要小心，价位高很多完全不符那个价。', '短评打分': 5}
{'短评内容': '环境比较清静，设施有点旧', '短评打分': 3}
{'短评内容': '房间有异味，比较古老的还不错的酒店。价格较低。', '短评打分': 3}
{'短评内容': '房间很小，设施简单阵旧，床上用品也旧，住的不放心', '短评打分': 1}
{'短评内容': '房间不错，挺安静的。。订的三人间，结果去时别人还没有退房，宾馆免费给升为套间了。。宾馆位置在小寨（西安第二商业区）附近，离大雁塔，大唐城门芙蓉园，陕西历史博物馆挺近的。。可以寄存行李。。', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 3}
{'短评内容': '酒店挺好的，房间设施都不错，如果能够刷卡就好了，毕竟出行的人，备用现金不敢带太多的。', '短评打分': 5}
{'短评内容': '不错 公务员考试 离得很近 环境也不错  下次有机会 还住这里', '短评打分': 5}
{'短评内容': '三人间地方小，插座少，环境较干净。', '短评打分': 3}
{'短评内容': '环宇宾馆601、603，共3天', '短评打分': 3}
{'短评内容': '价格比较高，对于那样的设施条件应该150就可以了。。。。位置很偏，有种随时有人群架的感觉', '短评打分': 5}
{'短评内容': '还可以，服务态度很好，房间设施有些陈旧，位置太偏，有点恐怖。。。。但是在芙蓉街附近，吃东西方便。。。。', '短评打分': 5}
{'短评内容': '酒店床很不舒服  很小   很旧  枕头不舒服   浴室也不行 与网上图片相差很大  还不好找', '短评打分': 1}
{'短评内容': '整体不错 房间价钱相对来说有点高\n其次房间的被单破了个大洞 也一直不换', '短评打分': 5}
{'短评内容': '位置还可以，离大雁塔、大唐芙蓉园挺近的！我们赶上清明节还涨价了20元，有些郁闷！另外，房间要是提供一次性拖鞋就好了。', '短评打分': 5}
{'短评内容': '酒店位置还可以，但是酒店设施不太好，有点旧了，另外热水不热，水量较小！！', '短评打分': 5}
{'短评内容': '很偏远的地方，交通极为不便，好处是价格便宜', '短评打分': 1}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '位置挺好，交通挺便利，房间挺宽敞，光线也挺好，让人感觉挺舒适。', '短评打分': 5}
{'短评内容': '价格挺合理，位置一般，要走一段路才有车坐，服务上挺贴心的，设施方面还好。', '短评打分': 3}
{'短评内容': '房间大小还好，电视空调都有，还能上网，价格也不贵，住的挺划算。', '短评打分': 5}
{'短评内容': '酒店还好，前台办事效率挺快的，设施有些陈旧，卫生方面还好，价格挺合适。', '短评打分': 3}
{'短评内容': '环境还不错，挺安静的。服务上响应及时，硬件设施挺齐全，感觉挺舒适。', '短评打分': 5}
{'短评内容': '服务态度挺好，设施简单实用，有宽带能上网，价格也不贵。', '短评打分': 3}
{'短评内容': '房间打扫的还比较干净，采光挺好，设施简单了点，有宽带能上网，这点挺方便的。', '短评打分': 3}
{'短评内容': '服务挺好，办事效率挺高，早餐很丰盛，卫生打扫也错，总体感觉挺舒适。', '短评打分': 3}
{'短评内容': '周边环境不错，吃饭购物挺方便，内部环境挺干净，服务态度也挺好，感觉还不错。', '短评打分': 3}
{'短评内容': '服务意识挺强，房间布置的挺合理，卫生也不错，价格也挺合适，总体感觉挺好。', '短评打分': 5}
