{'短评内容': '环境很好，房间也不错，就是床太次了，很低端那种席梦思床。', '短评打分': 5}
{'短评内容': '早饭可以。康体娱乐可以，小贵。环境不错。安静。', '短评打分': 5}
{'短评内容': '家具陈旧。早餐可以。后门上山可登顶观景亭鸟瞰密云水库', '短评打分': 5}
{'短评内容': '房间家具略显陈旧。特别是床垫子该换了。都硌得慌。早餐可以。三十一位。', '短评打分': 5}
{'短评内容': '很安静的酒店。后门上山推荐。登上山顶的观景亭大概四十分钟。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '十一临时抱佛脚，近期订的比较失败的酒店。基本就是企业的招待所水平，而且密云水库被封了之后周边也没啥可玩的，吃的嘛就是农家乐水库鱼，一家家都差不多，应该不会再来了', '短评打分': 3}
{'短评内容': '酒店干净，周边可以吃灶台鱼。', '短评打分': 5}
{'短评内容': '地方不错，出门很近就是灶台鱼一条街，酒店很干净！', '短评打分': 5}
{'短评内容': '性价比超好，环境特别好，服务也是不错的，午餐自助也比较实惠。', '短评打分': 5}
{'短评内容': '还不错 后山很好', '短评打分': 5}
{'短评内容': '免费升级到了一室一厅，房间宽敞，但是洗浴设备严重老化。淋浴头是坏的，水花四射，浴缸锈迹斑斑，不敢使用。 酒店的花园环境不错，适合饭后散步。早餐结束太早（好像是8:30），不适合睡懒觉的人。如果周末价格在300以内还算比较值。', '短评打分': 3}
{'短评内容': '安静不错，如果有机会还会住', '短评打分': 5}
{'短评内容': '多次入住了，性价比很高，', '短评打分': 5}
{'短评内容': '酒店不是特别好 硬件设施一般 环境一般 其实就是居民楼 我住的豪华大床房', '短评打分': 2}
{'短评内容': '干净整洁，床上用品很好。小区院内似花园。还有一个体育场。', '短评打分': 5}
{'短评内容': '入住的标间A（双床），一室一厅，房间宽敞，在客厅铺个垫子，练练瑜伽啥的，没问题，有保险箱和小冰箱，两个空调，两个电视，床挺舒服而且够大（2个人都可以），酒店绿化不错。\n房间设施明显老旧，电视又大又厚，地毯，沙发感觉不干净，卫生间的灯坏了，使用浴霸照明，房间没有吹风机，入住办理挺快，但是结账大约等了15分钟。\n个人推荐交通云蒙山庄，当然云蒙山庄必须把那个硬硬的床换掉。', '短评打分': 1}
{'短评内容': '感觉不错，床单毛巾很白，花园样宾馆，可以去。', '短评打分': 3}
{'短评内容': '离密云的景点都不远，还可以在酒店打折买景点的门票，酒店里面的环境挺好，就是时间紧迫没仔细研究', '短评打分': 5}
{'短评内容': '一开始分配的房间，在五楼，顶层，电源跳闸，无法正常使用电源、电视和电话！\n房间布局也是后修改的，一个厅、一个卧室，卫生间马桶是蹲坑的！\n服务人员还是不错的，电工来后说不能立即修好，所以给前台致电换了一个房间，换后还是挺好的，房间有一个客厅二个卧室，还有一个门厅，洗手间是干湿分离的，房间很大，也很舒适。每个房间都有空调，这个季节去，还是要取暖的，否则睡觉会冷。住了二天！这里很安静，休息的很好。\n景点', '短评打分': 5}
{'短评内容': '可以', '短评打分': 3}
{'短评内容': 'A quiet and comfortable place to stay.', '短评打分': 5}
{'短评内容': '蛮好的地方，环境优雅，设施质量很高。里边院子很大，路标还需要更清晰。', '短评打分': 5}
{'短评内容': '环境超好，很喜欢。如果分到偏单房型，一家四口住没问题，因为双床分别在屋里和厅里各一个。卫生间巨大，每个房都有厅。', '短评打分': 5}
