{'短评内容': '服务员挺nice，很满意', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '很好，谢谢', '短评打分': 5}
{'短评内容': '好好好', '短评打分': 5}
{'短评内容': '很好！', '短评打分': 5}
{'短评内容': '周边环境方便，离离城站近，路边吃饭夜店很多，对出差转车换乘小住很适合。离车站不远，以前打车不是很好打。', '短评打分': 5}
{'短评内容': '酒店位置很好，由于要去机场，酒店附近有机场大巴车。周边吃饭很方便。', '短评打分': 4}
{'短评内容': '配合客户酒店位置临时定的过夜房，还不错吧，主要地理位置很好，就行武林广场，不过月头再经过时好像酒店拆了还是重新装修了，反正暂时不见了，哈哈', '短评打分': 4}
{'短评内容': '离西湖不远，房间条件还可以', '短评打分': 5}
{'短评内容': '碰到G20,去了俩次派出所', '短评打分': 4}
{'短评内容': '处闹市区，交通便捷，生活方便。', '短评打分': 5}
{'短评内容': '赶机场大巴方便。', '短评打分': 5}
{'短评内容': '坐机场大巴很方便，推荐', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还行，就是赶上旅游旺季，价格比较高。', '短评打分': 4}
{'短评内容': '地处市中心，所以可能因为这个原因，房间比较小，比在苏州住的商业区的酒店小多了，房费还比苏州贵一点，不过挺干净的，从酒店徒步到西湖边很近，也就一公里多一点', '短评打分': 4}
{'短评内容': ' 酒店简洁方便，服务态度好，交通便利，就是网速慢了点，房间小了点，', '短评打分': 3}
{'短评内容': '酒店的位置不错，就是房间太小了，购物、出行和方便。', '短评打分': 5}
{'短评内容': '位置在市中心，公交方便，吃饭方便，逛街也方便', '短评打分': 5}
{'短评内容': '房间特别小，感觉一进房间就是张床，卫生间也很小，手盆都需要放在卫生间外面。早上很吵，听见楼下的公交车声音特别清楚，还有交通提示“行人车辆注意安全”，价格跟其他酒店比也不便宜', '短评打分': 1}
{'短评内容': '交通便利，性价比特别高。特别是想去机场的朋友。离机场大巴的地方也就五十米左右。离西湖也很近。强烈推荐', '短评打分': 5}
{'短评内容': '酒店地理位置方便，但临街噪音大', '短评打分': 3}
{'短评内容': '帮客人定的，说还可以，里坐大巴的地方的确很近', '短评打分': 5}
