{'短评内容': '整体来说还可以', '短评打分': 5}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '便宜没好货啊，酒店的味道很大，前台服务态度特别差，去住就像吃了屎一样，果断弃坑，网友们三思而后行', '短评打分': 2}
{'短评内容': '挺不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '酒店还好了，一般了。出差没有办法，只能随便住了，。酒店还好了，一般了。出差没有办法，只能随便住了，。', '短评打分': 2}
{'短评内容': '一般一般', '短评打分': 3}
{'短评内容': '非常好 很干净', '短评打分': 5}
{'短评内容': '屋内设施差，洗的凉水澡。服务差的很远。', '短评打分': 1}
{'短评内容': '很不错，房间很干净！', '短评打分': 4}
{'短评内容': '整体不好，早餐尤其差', '短评打分': 3}
{'短评内容': '酒店不错，性价比很高，楼下小超市东西价格合理很方便', '短评打分': 3}
{'短评内容': '酒店还行。房间很小，打扫卫生的阿姨很不好。', '短评打分': 3}
{'短评内容': '还行吧 环境还算干净卫生', '短评打分': 3}
{'短评内容': '房间挺大，有点潮！估计开窗通风不够吧！其他设施也基本齐全，对得起这个价格！！', '短评打分': 3}
