{'短评内容': '这个价格就这样吧', '短评打分': 4}
{'短评内容': '听说酒店里面味道不好，床被很旧。', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': 'goood还要写那么多字为了那么点积分鞋城规则太过教条了以后好好考虑考虑用户的体验好吧不要搞形而上的玩意了', '短评打分': 5}
{'短评内容': '感觉还不错，小纸片很多，离市中心很近，旅游很方便', '短评打分': 5}
{'短评内容': '位置好，就在海河风情线旁边，游览出行很方便', '短评打分': 4}
{'短评内容': '跟同事一起出差，还是住这里，半夜突然传来KTV的歌声，真心无法睡觉，原来楼下有个音乐麻辣烫，立即联系前台换房到3楼，这样安静啦，看来以后必须住高层才行啊。', '短评打分': 3}
{'短评内容': '为老人预定的酒店，离火车站很近，走路15分钟吧，就是早餐比较单调，品种太少，淡季，入住客人少，服务一般', '短评打分': 4}
{'短评内容': '距离火车站很近，总在附近安排异地的客人！该酒店也不是第一次了！性价比还可以，地理位置优越，饮食也方便！但酒店设施有些旧了，卫生状况差强人意！', '短评打分': 4}
{'短评内容': '什么都不好劝你们别来', '短评打分': 1}
{'短评内容': '因为之前住得还行，这次还是住这边。只是这次的入住感受不咋地，半夜写报告时突然从楼下传来KTV歌声……真的有点受不了，赶快联系前台换房，搬去3楼。看来以后必须要求直接住高楼层。', '短评打分': 3}
{'短评内容': '很不错的酒店', '短评打分': 5}
{'短评内容': '酒店设施齐全，服务态度好，舒适，干净', '短评打分': 5}
{'短评内容': '还好', '短评打分': 4}
{'短评内容': '酒店位置很好，在海河旁边，晚上到海河边散步很方便，也靠近意大利风情街。房间设施设备也不错，卫生干净，性价比高。适合旅游住宿。', '短评打分': 5}
{'短评内容': '离风情街和火车站很近，服务态度也很好，很热情。', '短评打分': 4}
{'短评内容': '不是很满意，住的不舒服，而且网速很慢。', '短评打分': 1}
{'短评内容': '1.酒店位置好，距离意风区很近（步行约5分钟）\n2.打车去古文化街和南市食品街、天津之眼只需起步价。\n3.酒店环境不错，网速快，房间干净，早餐不挑剔话还行（豆浆、果汁、小米粥、鸡蛋、油条、花卷、小菜、水果）。\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n', '短评打分': 5}
{'短评内容': '酒店的房间比较宽敞，用凯立德导航找进步桥直接就找到了，位置非常好找离天津古文化街步行10分钟。值得推荐。', '短评打分': 5}
{'短评内容': '位置很好，但是一定要选有窗的， 没有窗的时尚房很潮而且不干净。 早餐一般， 不挑剔的朋友可以选择。 ', '短评打分': 5}
{'短评内容': '出行方便，离古文化市场很近', '短评打分': 3}
{'短评内容': '环境很好，电视很大，住得很舒服', '短评打分': 3}
{'短评内容': '干净，离市中心和海河及意大利风情街很方面，周边还有商场。', '短评打分': 5}
{'短评内容': '一塌糊涂。。。酒店很小，没有早餐，不能刷卡，网络没法用。找人来弄了好几次根本就没用。\n能不去尽量不要去', '短评打分': 1}
{'短评内容': '地理位置好，酒店有无限wifi方便，就是停车位少。', '短评打分': 5}
{'短评内容': '优点: \n1，酒店位置好：距意式风情街，海河，和平路金街都很近；\n2，虽然地处繁华但环境闹中取静，周边并不喧闹；\n3，酒店外观很好，看上去风格典雅，档次良好；\n缺点：\n1，酒店管理不够专业，工作人员没经过职业培训，比如：清洁人员对房间打扫不彻底；\n2，房间偏小（商务大床房），隔音不佳，夜晚可听到旁边房聊天；\n3，房内不像新装修：地毯不洁，墙纸陈旧；', '短评打分': 1}
{'短评内容': '位置不错，离火车站不行20分钟，离意大利风情街非常近，房间不大，挺干净的，可能是服务员少吧，我们2点到的时候说房间都没有做好卫生不能入住，还有点郁闷……', '短评打分': 5}
{'短评内容': '太好了！！很干净，客房设施齐全，还有宽带，这个价格也是可以接受的，交通便利，临近意大利风情街，很热闹，真的很值得', '短评打分': 5}
{'短评内容': '貌似是新开的，好多东西都没弄好。但是房间绝对是ok的，我订的是圆床，还好，蛮温馨的就是比图片上感觉小了一点儿。离风情街巨近，感觉是很方便的。火车站下来步行了20分钟就到了，来天津玩的话，强烈推荐。', '短评打分': 5}
