{'短评内容': '酒店服务人员态度非常好', '短评打分': 5}
{'短评内容': '房间太小，定时没说明是1.5米的床，只是说大床，没说明', '短评打分': 4}
{'短评内容': '早餐很差，卫生一般，床也不舒服。在肇庆这个价位可以住很多地方，这款I整体感觉不好，还没有停车位，每晚上要20元停车费，不好', '短评打分': 3}
{'短评内容': '总体上还是不错了，不过碰到房间有抽水马桶坏，漏水声音好大', '短评打分': 5}
{'短评内容': '位置很好', '短评打分': 4}
{'短评内容': '环境不错，房间内整洁干净', '短评打分': 5}
{'短评内容': '干净卫生，入住当天是肇庆国际马拉松，价格比平时高一半。', '短评打分': 5}
{'短评内容': '物美价廉，茶壶里面装茶叶的滤网容易清洗，推荐购买。', '短评打分': 5}
{'短评内容': '不点评 7天没什么好说的', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '满意，酒店位置很好，服务不错', '短评打分': 5}
{'短评内容': '酒店位置不错，离景区很近', '短评打分': 5}
{'短评内容': '房间不错，酒店服务可以，酒店位置去景区很方便', '短评打分': 5}
{'短评内容': '替朋友订的，还不错！', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '环境过得去!前台的服务太散慢了!硬邦邦的!', '短评打分': 5}
{'短评内容': '就跟很多连锁酒店差不多，床单貌似不怎么干净', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
