{'短评内容': '方便，好评。', '短评打分': 4}
{'短评内容': '晚上入住的，房间灯光暗，没注意床单，中午退房之前拉开窗帘，看到床单是这个样子！！！前台还不给开发票！！！', '短评打分': 1}
{'短评内容': '干净卫生、服务好！', '短评打分': 5}
{'短评内容': '交通方便，距考试地点近', '短评打分': 5}
{'短评内容': '早歺太过于简单了，', '短评打分': 4}
{'短评内容': '很不错，值得推荐', '短评打分': 4}
{'短评内容': '环境一般吧，不过基本满足', '短评打分': 3}
{'短评内容': '和大学闺蜜去洛阳玩，临时定的酒店，晚上打车过去的，感觉离火车站不远，附近就有公交站台。酒店设置不是非常新，卫生还好，太晚了，有个睡觉的地方就十分幸福了。早上有早餐的，去晚了，选择不多。', '短评打分': 4}
{'短评内容': '房间太小，环境一般吧', '短评打分': 3}
{'短评内容': '卫生清理的太慢，陪电脑的还是不错，出差办公挺方便了', '短评打分': 4}
{'短评内容': '单人家具小\u3000大概四平米\u3000墙上脏脏的\u3000卫生间也可小了\u3000根本不能洗澡\u3000只有个放电视的小柜子能放东西', '短评打分': 3}
{'短评内容': '位置离商业街挺近，上网是有线的，设施还不错，虽然在路边但是不吵', '短评打分': 3}
{'短评内容': '房子好小，设施让人很失望！', '短评打分': 3}
